Zedge Price to Free Cash Flow Ratio Historical Data,Zedge Price to Free Cash Flow Ratio Historical Data,Zedge Price to Free Cash Flow Ratio Historical Data,Zedge Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.25,,7.41
2025-01-31,2.71,$0.30,8.93
2024-10-31,3.08,$0.34,8.95
2024-07-31,3.62,$0.33,10.96
2024-04-30,2.4,$0.29,8.22
2024-01-31,3.26,$0.24,13.84
2023-10-31,1.92,$0.13,15.02
2023-07-31,2.1,$0.12,17.4
2023-04-30,1.98,$0.05,37.43
2023-01-31,2.2,$0.34,6.46
2022-10-31,2.12,$0.55,3.82
2022-07-31,2.76,$0.67,4.12
2022-04-30,5.14,$0.57,9.0
2022-01-31,7.56,$0.44,17.08
2021-10-31,11.53,$0.40,28.84
2021-07-31,15.36,$0.33,45.86
2021-04-30,13.3,$0.54,24.85
2021-01-31,7.27,$0.32,22.38
2020-10-31,3.41,$0.21,16.18
2020-07-31,1.39,$0.12,11.35
2020-04-30,1.12,$0.02,54.63
2020-01-31,1.7,$-0.05,0.0
2019-10-31,1.76,$-0.17,0.0
2019-07-31,1.61,$-0.14,0.0
2019-04-30,2.09,$-0.17,0.0
2019-01-31,2.06,$-0.12,0.0
2018-10-31,1.94,$-0.05,0.0
2018-07-31,2.97,$-0.14,0.0
2018-04-30,4.23,$-0.11,0.0
2018-01-31,3.04,$-0.17,0.0
2017-10-31,2.92,$-0.20,0.0
2017-07-31,2.07,$-0.17,0.0
2017-04-30,3.07,$-0.02,0.0
