International Seaways Price to Free Cash Flow Ratio Historical Data,International Seaways Price to Free Cash Flow Ratio Historical Data,International Seaways Price to Free Cash Flow Ratio Historical Data,International Seaways Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,35.27,,5.2
2024-12-31,35.94,$6.79,5.3
2024-09-30,49.85,$9.27,5.38
2024-06-30,55.42,$9.41,5.89
2024-03-31,48.43,$10.11,4.79
2023-12-31,40.37,$11.01,3.67
2023-09-30,38.8,$11.37,3.41
2023-06-30,31.87,$9.62,3.31
2023-03-31,33.22,$9.63,3.45
2022-12-31,28.22,$5.45,5.18
2022-09-30,26.01,$1.81,14.36
2022-06-30,15.64,$2.63,5.94
2022-03-31,13.24,$0.47,28.43
2021-12-31,10.73,$0.28,38.87
2021-09-30,13.27,$2.93,4.52
2021-06-30,13.07,$3.37,3.88
2021-03-31,13.17,$6.76,1.95
2020-12-31,11.06,$8.41,1.31
2020-09-30,9.86,$6.49,1.52
2020-06-30,10.99,$4.14,2.66
2020-03-31,16.02,$2.33,6.88
2019-12-31,19.9,$2.26,8.8
2019-09-30,12.88,$1.93,6.66
2019-06-30,12.71,$1.59,7.97
2019-03-31,11.46,$-0.81,0.0
2018-12-31,11.26,$0.23,48.46
2018-09-30,13.39,$-1.34,0.0
2018-06-30,15.47,$-4.31,0.0
2018-03-31,11.77,$-3.36,0.0
2017-12-31,12.34,$-4.74,0.0
2017-09-30,13.17,$0.90,14.67
