Caravelle Group Price to Free Cash Flow Ratio Historical Data,Caravelle Group Price to Free Cash Flow Ratio Historical Data,Caravelle Group Price to Free Cash Flow Ratio Historical Data,Caravelle Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.97,,2.97
2022-10-31,10.1,$0.66,15.24
2022-09-30,10.05,$-0.30,0.0
2022-06-30,10.01,$-0.39,0.0
