CFSB Bancorp Price to Free Cash Flow Ratio Historical Data,CFSB Bancorp Price to Free Cash Flow Ratio Historical Data,CFSB Bancorp Price to Free Cash Flow Ratio Historical Data,CFSB Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.58,,81.77
2024-12-31,6.76,$0.09,72.92
2024-09-30,6.9,$0.04,167.07
2024-06-30,6.57,$0.05,124.2
2024-03-31,7.2,$0.10,72.36
2023-12-31,6.45,$0.13,49.48
2023-09-30,7.0,$0.24,29.6
2023-06-30,7.99,$0.28,28.83
2023-03-31,7.77,$0.29,26.9
2022-12-31,8.09,$0.43,18.77
