ALT5 Sigma Price to Free Cash Flow Ratio Historical Data,ALT5 Sigma Price to Free Cash Flow Ratio Historical Data,ALT5 Sigma Price to Free Cash Flow Ratio Historical Data,ALT5 Sigma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.72,,27.03
2024-09-30,1.77,$0.17,10.14
2024-06-30,2.24,$-0.36,0.0
2024-03-31,2.63,$-0.52,0.0
2023-12-31,0.56,$0.33,1.69
2023-09-30,0.41,$0.23,1.76
2023-06-30,1.05,$-0.56,0.0
2023-03-31,1.14,$-0.84,0.0
2022-12-31,1.37,$-0.97,0.0
2022-09-30,2.14,$-1.60,0.0
2022-06-30,2.58,$-0.83,0.0
2022-03-31,3.49,$-1.68,0.0
2021-12-31,4.09,$-2.61,0.0
2021-09-30,6.84,$-1.82,0.0
2021-06-30,7.8,$-1.35,0.0
2021-03-31,8.42,$-1.32,0.0
2020-12-31,4.89,$-0.61,0.0
2020-09-30,4.74,$-0.30,0.0
2020-06-30,3.2,$-2.14,0.0
2020-03-31,2.24,$-1.47,0.0
2019-12-31,2.96,$-2.11,0.0
2019-09-30,2.8,$-1.99,0.0
2019-06-30,4.39,$0.02,239.89
2019-03-31,2.18,$-0.13,0.0
2018-12-31,2.22,$2.54,0.87
2018-09-30,4.65,$2.02,2.3
2018-06-30,3.45,$0.78,4.44
2018-03-31,4.15,$1.79,2.32
2017-12-31,5.2,$5.91,0.88
2017-09-30,5.15,$4.99,1.03
2017-06-30,3.95,$4.09,0.97
2017-03-31,5.3,$6.03,0.88
2016-12-31,5.6,$1.84,3.05
2016-09-30,4.91,$1.66,2.96
2016-06-30,5.8,$0.88,6.58
2016-03-31,5.9,$-1.77,0.0
2015-12-31,5.25,$-3.26,0.0
2015-09-30,5.8,$-2.48,0.0
2015-06-30,9.15,$1.29,7.1
2015-03-31,10.25,$1.06,9.63
2014-12-31,13.75,$2.42,5.69
2014-09-30,14.75,$0.64,23.17
2014-06-30,19.95,$0.07,272.54
2014-03-31,15.15,$-0.46,0.0
2013-12-31,14.35,$1.09,13.19
2013-09-30,14.75,$5.64,2.61
2013-06-30,12.88,$3.68,3.5
2013-03-31,6.85,$2.18,3.14
2012-12-31,6.7,$-0.24,0.0
2012-09-30,16.55,$-4.35,0.0
2012-06-30,20.9,$-0.82,0.0
2012-03-31,23.2,$-0.13,0.0
2011-12-31,24.99,$-0.32,0.0
2011-09-30,22.4,$-0.61,0.0
2011-06-30,23.0,$-4.58,0.0
2011-03-31,19.55,$-6.64,0.0
2010-12-31,17.0,$-1.93,0.0
2010-09-30,15.55,$-0.08,0.0
2010-06-30,13.63,$6.72,2.03
2010-03-31,13.75,$10.13,1.36
2009-12-31,11.5,$5.97,1.93
