Capitol Federal Financial Price to Free Cash Flow Ratio Historical Data,Capitol Federal Financial Price to Free Cash Flow Ratio Historical Data,Capitol Federal Financial Price to Free Cash Flow Ratio Historical Data,Capitol Federal Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.75,,21.09
2024-12-31,5.91,$0.27,21.68
2024-09-30,5.76,$0.19,30.57
2024-06-30,5.34,$0.31,17.04
2024-03-31,5.7,$0.24,24.07
2023-12-31,6.09,$0.16,38.34
2023-09-30,4.43,$0.31,14.35
2023-06-30,5.66,$0.46,12.17
2023-03-31,6.08,$0.59,10.22
2022-12-31,7.74,$0.64,12.12
2022-09-30,7.09,$0.68,10.49
2022-06-30,7.78,$0.61,12.81
2022-03-31,8.95,$0.55,16.27
2021-12-31,9.24,$0.51,18.09
2021-09-30,9.14,$0.50,18.3
2021-06-30,9.3,$0.46,20.19
2021-03-31,10.06,$0.54,18.77
2020-12-31,9.43,$0.53,17.88
2020-09-30,6.87,$0.57,12.11
2020-06-30,8.09,$0.60,13.57
2020-03-31,8.47,$0.53,15.89
2019-12-31,9.96,$0.58,17.15
2019-09-30,9.7,$0.50,19.3
2019-06-30,9.63,$0.56,17.32
2019-03-31,9.11,$0.57,16.01
2018-12-31,8.66,$0.62,14.07
2018-09-30,8.32,$0.83,9.98
2018-06-30,8.54,$0.81,10.56
2018-03-31,7.82,$0.78,10.06
2017-12-31,8.43,$0.69,12.24
2017-09-30,8.99,$0.57,15.82
2017-06-30,8.64,$0.52,16.55
2017-03-31,8.69,$0.52,16.77
2016-12-31,9.73,$0.55,17.68
2016-09-30,8.12,$0.53,15.42
2016-06-30,8.0,$0.53,15.15
2016-03-31,7.42,$0.53,14.03
2015-12-31,6.98,$0.52,13.43
2015-09-30,6.56,$0.55,11.9
2015-06-30,6.47,$0.56,11.46
2015-03-31,6.54,$0.61,10.74
2014-12-31,6.64,$0.64,10.34
2014-09-30,5.98,$0.61,9.86
2014-06-30,6.11,$0.57,10.67
2014-03-31,6.15,$0.60,10.25
2013-12-31,5.89,$0.60,9.79
2013-09-30,5.8,$0.57,10.13
2013-06-30,5.63,$0.61,9.3
2013-03-31,5.56,$0.56,9.86
2012-12-31,5.35,$0.55,9.68
2012-09-30,5.13,$0.59,8.66
2012-06-30,5.07,$0.56,9.0
2012-03-31,5.03,$0.60,8.41
2011-12-31,4.86,$0.55,8.9
2011-09-30,4.38,$0.33,13.42
2011-06-30,4.84,$0.38,12.86
2011-03-31,4.61,$0.28,16.4
2010-12-31,4.61,$0.27,17.24
2010-09-30,4.08,$0.31,13.29
2010-06-30,5.4,$0.24,22.72
2010-03-31,6.02,$0.67,9.02
2009-12-31,4.98,$1.06,4.69
