Enact Holdings Price to Free Cash Flow Ratio Historical Data,Enact Holdings Price to Free Cash Flow Ratio Historical Data,Enact Holdings Price to Free Cash Flow Ratio Historical Data,Enact Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.97,,11.43
2024-12-31,32.38,$2.97,10.89
2024-09-30,36.33,$2.39,15.22
2024-06-30,30.66,$2.14,14.33
2024-03-31,31.18,$2.26,13.83
2023-12-31,28.89,$1.82,15.9
2023-09-30,27.23,$3.04,8.96
2023-06-30,25.13,$2.68,9.38
2023-03-31,22.86,$2.50,9.14
2022-12-31,24.12,$2.76,8.75
2022-09-30,22.17,$3.45,6.43
2022-06-30,21.37,$5.36,3.99
