Northrim BanCorp Inc Price to Free Cash Flow Ratio Historical Data,Northrim BanCorp Inc Price to Free Cash Flow Ratio Historical Data,Northrim BanCorp Inc Price to Free Cash Flow Ratio Historical Data,Northrim BanCorp Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,73.71,,0.0
2024-12-31,77.94,$-1.67,0.0
2024-09-30,71.22,$0.50,142.7
2024-06-30,57.1,$2.12,26.96
2024-03-31,49.48,$4.02,12.32
2023-12-31,55.36,$5.76,9.61
2023-09-30,37.93,$3.04,12.48
2023-06-30,37.1,$5.82,6.38
2023-03-31,43.87,$10.17,4.31
2022-12-31,50.15,$12.74,3.94
2022-09-30,37.84,$12.81,2.95
2022-06-30,36.21,$9.29,3.9
2022-03-31,38.81,$13.72,2.83
2021-12-31,38.35,$17.55,2.19
2021-09-30,37.19,$9.98,3.73
2021-06-30,37.06,$12.09,3.07
2021-03-31,36.55,$3.69,9.92
2020-12-31,28.96,$-6.11,0.0
2020-09-30,21.52,$-1.49,0.0
2020-06-30,20.96,$-5.24,0.0
2020-03-31,22.21,$-4.48,0.0
2019-12-31,31.13,$-0.46,0.0
2019-09-30,31.98,$0.10,326.98
2019-06-30,28.48,$2.33,12.22
2019-03-31,27.25,$3.63,7.51
2018-12-31,25.81,$3.10,8.33
2018-09-30,32.37,$3.01,10.74
2018-06-30,30.63,$1.37,22.32
2018-03-31,26.6,$0.34,78.2
2017-12-31,25.89,$2.56,10.12
2017-09-30,26.57,$4.26,6.24
2017-06-30,22.94,$2.97,7.72
2017-03-31,22.52,$4.39,5.13
2016-12-31,23.51,$2.61,8.99
2016-09-30,19.02,$-0.23,0.0
2016-06-30,19.27,$3.62,5.33
2016-03-31,17.39,$4.84,3.59
2015-12-31,19.2,$0.55,35.13
2015-09-30,20.74,$-0.31,0.0
2015-06-30,18.25,$-1.64,0.0
2015-03-31,17.36,$0.15,117.76
2014-12-31,18.42,$2.22,8.31
2014-09-30,18.44,$1.77,10.41
2014-06-30,17.71,$1.52,11.66
2014-03-31,17.67,$1.09,16.23
2013-12-31,17.92,$2.49,7.21
2013-09-30,16.35,$6.03,2.71
2013-06-30,16.29,$3.63,4.49
2013-03-31,15.03,$2.19,6.86
2012-12-31,15.05,$4.71,3.2
2012-09-30,13.29,$-3.45,0.0
2012-06-30,14.08,$-1.07,0.0
2012-03-31,14.02,$0.46,30.56
2011-12-31,11.33,$-0.87,0.0
2011-09-30,12.43,$5.99,2.07
2011-06-30,12.11,$3.96,3.06
2011-03-31,12.03,$3.22,3.74
2010-12-31,12.18,$2.47,4.93
2010-09-30,10.4,$-1.14,0.0
2010-06-30,9.63,$1.16,8.33
2010-03-31,10.56,$2.21,4.78
2009-12-31,10.37,$1.47,7.04
