Hepion Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Hepion Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Hepion Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Hepion Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.83,,0.0
2024-09-30,0.67,$-4.53,0.0
2024-06-30,1.02,$-7.41,0.0
2024-03-31,2.49,$-8.86,0.0
2023-12-31,3.24,$-10.30,0.0
2023-09-30,4.99,$-9.58,0.0
2023-06-30,10.5,$-9.95,0.0
2023-03-31,15.53,$-8.68,0.0
2022-12-31,6.01,$-9.18,0.0
2022-09-30,10.1,$-10.55,0.0
2022-06-30,11.45,$-10.24,0.0
2022-03-31,25.8,$-8.73,0.0
2021-12-31,22.8,$-8.92,0.0
2021-09-30,30.6,$-14.06,0.0
2021-06-30,39.6,$-18.53,0.0
2021-03-31,36.8,$-14.92,0.0
2020-12-31,43.8,$-33.58,0.0
2020-09-30,62.2,$-70.44,0.0
2020-06-30,57.2,$-14.61,0.0
2020-03-31,35.4,$71.62,0.49
2019-12-31,107.2,$-74.56,0.0
2019-09-30,48.4,$-685.68,0.0
2019-06-30,83.4,$-856.66,0.0
2019-03-31,315.0,"$-1,372.12",0.0
2018-12-31,394.8,"$-1,700.56",0.0
2018-09-30,785.4,$533.57,1.47
2018-06-30,1820.0,$-344.87,0.0
2018-03-31,2632.0,$-760.66,0.0
2017-12-31,4032.0,"$-1,186.35",0.0
2017-09-30,5824.0,"$-3,285.85",0.0
2017-06-30,6496.0,"$-3,576.63",0.0
2017-03-31,19824.0,"$2,252.17",8.8
2016-12-31,13440.0,"$-1,812.93",0.0
2016-09-30,11984.0,"$-4,773.17",0.0
2016-06-30,11648.0,"$-3,481.49",0.0
2016-03-31,13552.0,"$-8,468.17",0.0
2015-12-31,17248.0,"$-3,481.49",0.0
2015-09-30,23408.0,$-0.19,0.0
2015-06-30,56896.0,$-0.11,0.0
2015-03-31,34496.0,$-0.31,0.0
2014-12-31,24864.0,$-0.11,0.0
