United Security Bancshares Price to Free Cash Flow Ratio Historical Data,United Security Bancshares Price to Free Cash Flow Ratio Historical Data,United Security Bancshares Price to Free Cash Flow Ratio Historical Data,United Security Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.04,,7.48
2024-09-30,8.59,$1.21,7.11
2024-06-30,7.03,$0.71,9.86
2024-03-31,7.36,$1.07,6.88
2023-12-31,7.91,$1.20,6.58
2023-09-30,6.88,$1.30,5.31
2023-06-30,6.05,$0.95,6.39
2023-03-31,5.7,$1.69,3.37
2022-12-31,6.43,$1.26,5.09
2022-09-30,5.64,$1.23,4.57
2022-06-30,6.49,$1.91,3.4
2022-03-31,6.98,$0.75,9.31
2021-12-31,6.83,$0.90,7.6
2021-09-30,6.54,$0.71,9.16
2021-06-30,6.6,$0.63,10.5
2021-03-31,6.52,$0.74,8.83
2020-12-31,5.62,$0.74,7.54
2020-09-30,4.71,$0.85,5.54
2020-06-30,5.07,$1.05,4.82
2020-03-31,4.75,$1.00,4.73
2019-12-31,7.96,$0.90,8.89
2019-09-30,7.65,$0.77,9.97
2019-06-30,8.2,$0.74,11.02
2019-03-31,7.55,$0.63,11.98
2018-12-31,6.75,$0.61,11.08
2018-09-30,7.75,$0.54,14.29
2018-06-30,7.76,$0.44,17.5
2018-03-31,7.38,$0.42,17.79
2017-12-31,7.51,$0.38,19.75
2017-09-30,6.44,$0.39,16.69
2017-06-30,6.23,$0.42,14.94
2017-03-31,4.84,$0.63,7.71
2016-12-31,5.14,$0.50,10.35
2016-09-30,4.11,$0.46,8.87
2016-06-30,4.13,$0.39,10.55
2016-03-31,3.19,$0.37,8.73
2015-12-31,3.41,$0.51,6.73
2015-09-30,3.31,$0.53,6.21
2015-06-30,3.12,$0.58,5.36
2015-03-31,3.29,$0.49,6.7
2014-12-31,3.31,$0.49,6.78
2014-09-30,3.35,$0.47,7.19
2014-06-30,3.31,$0.61,5.45
2014-03-31,3.26,$0.75,4.33
2013-12-31,2.87,$0.64,4.49
2013-09-30,2.44,$0.62,3.93
2013-06-30,2.42,$0.47,5.17
2013-03-31,2.52,$0.41,6.14
2012-12-31,1.43,$0.53,2.71
2012-09-30,1.4,$0.29,4.83
2012-06-30,1.32,$0.31,4.32
2012-03-31,1.34,$0.26,5.06
2011-12-31,1.18,$0.29,4.01
2011-09-30,1.59,$0.48,3.31
2011-06-30,1.64,$0.49,3.37
2011-03-31,1.91,$0.43,4.41
2010-12-31,1.95,$0.54,3.64
2010-09-30,2.33,$0.61,3.83
2010-06-30,1.85,$0.71,2.58
2010-03-31,2.49,$0.83,3.01
2009-12-31,2.19,$0.78,2.79
