Ameren Price to Free Cash Flow Ratio Historical Data,Ameren Price to Free Cash Flow Ratio Historical Data,Ameren Price to Free Cash Flow Ratio Historical Data,Ameren Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,99.97,,0.0
2024-12-31,89.14,$-6.16,0.0
2024-09-30,86.81,$-6.56,0.0
2024-06-30,70.02,$-4.99,0.0
2024-03-31,72.14,$-4.39,0.0
2023-12-31,69.91,$-4.58,0.0
2023-09-30,71.74,$-3.28,0.0
2023-06-30,77.68,$-4.54,0.0
2023-03-31,81.54,$-4.48,0.0
2022-12-31,83.3,$-4.30,0.0
2022-09-30,74.96,$-4.97,0.0
2022-06-30,83.55,$-4.71,0.0
2022-03-31,86.15,$-5.17,0.0
2021-12-31,81.24,$-7.23,0.0
2021-09-30,73.46,$-9.42,0.0
2021-06-30,72.13,$-9.12,0.0
2021-03-31,72.85,$-8.39,0.0
2020-12-31,69.38,$-6.32,0.0
2020-09-30,69.82,$-3.09,0.0
2020-06-30,61.73,$-2.38,0.0
2020-03-31,63.48,$-1.91,0.0
2019-12-31,66.54,$-1.10,0.0
2019-09-30,68.9,$-1.03,0.0
2019-06-30,64.65,$-0.53,0.0
2019-03-31,62.91,$-0.04,0.0
2018-12-31,55.79,$-0.68,0.0
2018-09-30,53.71,$-0.74,0.0
2018-06-30,51.34,$-0.81,0.0
2018-03-31,47.39,$-0.85,0.0
2017-12-31,48.95,$-0.32,0.0
2017-09-30,47.64,$0.15,326.08
2017-06-30,44.7,$0.26,172.91
2017-03-31,44.29,$-0.19,0.0
2016-12-31,42.21,$-0.06,0.0
2016-09-30,39.22,$-0.39,0.0
2016-06-30,42.37,$-0.44,0.0
2016-03-31,39.28,$0.06,605.26
2015-12-31,33.59,$0.25,131.99
2015-09-30,32.52,$0.09,370.86
2015-06-30,28.69,$-0.54,0.0
2015-03-31,31.79,$-0.83,0.0
2014-12-31,34.41,$-1.20,0.0
2014-09-30,28.32,$-0.83,0.0
2014-06-30,29.91,$-0.64,0.0
2014-03-31,29.83,$-0.16,0.0
2013-12-31,25.92,$1.10,23.56
2013-09-30,24.7,$1.55,15.97
2013-06-30,24.12,$1.98,12.22
2013-03-31,24.25,$2.18,11.14
2012-12-31,21.02,$2.21,9.53
2012-09-30,22.06,$2.54,8.7
2012-06-30,22.37,$3.09,7.23
2012-03-31,21.47,$3.00,7.16
2011-12-31,21.57,$3.86,5.58
2011-09-30,19.14,$3.39,5.65
2011-06-30,18.3,$3.86,4.74
2011-03-31,17.57,$4.09,4.3
2010-12-31,17.4,$3.10,5.62
2010-09-30,17.3,$2.30,7.53
2010-06-30,14.29,$1.83,7.82
2010-03-31,15.43,$0.72,21.53
2009-12-31,16.29,$0.85,19.19
