Dana Price to Free Cash Flow Ratio Historical Data,Dana Price to Free Cash Flow Ratio Historical Data,Dana Price to Free Cash Flow Ratio Historical Data,Dana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.47,,25.94
2024-12-31,11.56,$0.56,20.72
2024-09-30,10.44,$0.46,22.82
2024-06-30,11.86,$0.47,25.44
2024-03-31,12.34,$0.68,18.24
2023-12-31,14.09,$-0.16,0.0
2023-09-30,14.02,$0.31,44.53
2023-06-30,16.16,$0.90,18.01
2023-03-31,14.2,$1.10,12.93
2022-12-31,14.19,$1.48,9.61
2022-09-30,10.65,$0.62,17.28
2022-06-30,13.04,$-1.08,0.0
2022-03-31,16.17,$-2.30,0.0
2021-12-31,20.89,$-0.86,0.0
2021-09-30,20.27,$-1.03,0.0
2021-06-30,21.56,$1.93,11.15
2021-03-31,22.0,$1.10,19.98
2020-12-31,17.57,$0.49,35.77
2020-09-30,11.09,$1.67,6.65
2020-06-30,10.97,$0.72,15.31
2020-03-31,7.03,$1.50,4.68
2019-12-31,16.27,$1.50,10.83
2019-09-30,12.84,$1.58,8.15
2019-06-30,17.73,$0.95,18.59
2019-03-31,15.67,$1.50,10.44
2018-12-31,11.98,$1.66,7.22
2018-09-30,16.3,$0.36,45.17
2018-06-30,17.54,$0.80,21.86
2018-03-31,22.29,$1.05,21.27
2017-12-31,27.59,$1.10,25.18
2017-09-30,24.06,$1.28,18.77
2017-06-30,19.16,$0.43,44.62
2017-03-31,16.53,$0.49,33.49
2016-12-31,16.19,$0.42,38.34
2016-09-30,13.25,$0.34,39.42
2016-06-30,8.94,$0.94,9.47
2016-03-31,11.87,$0.75,15.76
2015-12-31,11.57,$0.91,12.68
2015-09-30,13.26,$1.14,11.61
2015-06-30,17.13,$1.07,15.96
2015-03-31,17.57,$1.30,13.51
2014-12-31,18.0,$1.59,11.32
2014-09-30,15.84,$2.27,6.98
2014-06-30,20.13,$2.53,7.97
2014-03-31,19.14,$2.52,7.59
2013-12-31,16.1,$2.52,6.39
2013-09-30,18.69,$1.94,9.62
2013-06-30,15.73,$1.74,9.06
2013-03-31,14.52,$1.48,9.8
2012-12-31,12.68,$0.82,15.55
2012-09-30,9.95,$0.57,17.44
2012-06-30,10.33,$0.39,26.24
2012-03-31,12.45,$0.18,69.85
2011-12-31,9.73,$0.81,12.03
2011-09-30,8.41,$0.73,11.52
2011-06-30,14.65,$0.57,25.68
2011-03-31,13.92,$0.70,19.82
2010-12-31,13.78,$1.19,11.61
2010-09-30,9.86,$1.58,6.24
2010-06-30,8.0,$2.96,2.71
2010-03-31,9.51,$3.27,2.91
2009-12-31,8.68,$0.99,8.77
