BRAEMAR HOTELS & RESORTS INC Price to Free Cash Flow Ratio Historical Data,BRAEMAR HOTELS & RESORTS INC Price to Free Cash Flow Ratio Historical Data,BRAEMAR HOTELS & RESORTS INC Price to Free Cash Flow Ratio Historical Data,BRAEMAR HOTELS & RESORTS INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.96,,1.3
2024-12-31,3.0,$2.28,1.31
2024-09-30,3.09,$2.27,1.36
2024-06-30,2.51,$0.04,65.35
2024-03-31,1.93,$-0.16,0.0
2023-12-31,2.35,$0.12,20.45
2023-09-30,2.56,$0.18,14.25
2023-06-30,3.65,$0.70,5.21
2023-03-31,3.46,$0.99,3.49
2022-12-31,3.64,$0.87,4.2
2022-09-30,3.76,$1.01,3.71
2022-06-30,3.74,$0.81,4.59
2022-03-31,5.38,$0.74,7.23
2021-12-31,4.43,$0.73,6.09
2021-09-30,4.21,$0.12,36.44
2021-06-30,5.39,$-0.68,0.0
2021-03-31,5.27,$-1.79,0.0
2020-12-31,4.0,$-2.23,0.0
2020-09-30,2.17,$-2.34,0.0
2020-06-30,2.48,$-2.05,0.0
2020-03-31,1.48,$-1.27,0.0
2019-12-31,7.76,$-2.17,0.0
2019-09-30,7.93,$-1.76,0.0
2019-06-30,8.22,$-1.22,0.0
2019-03-31,9.97,$1.04,9.56
2018-12-31,7.2,$1.83,3.93
2018-09-30,9.33,$5.40,1.73
2018-06-30,8.93,$5.34,1.67
2018-03-31,7.49,$3.57,2.1
2017-12-31,7.38,$3.76,1.96
2017-09-30,7.09,$0.88,8.02
2017-06-30,7.55,$3.25,2.32
2017-03-31,7.66,$3.30,2.32
2016-12-31,9.71,$3.78,2.57
2016-09-30,9.94,$3.74,2.66
2016-06-30,9.88,$1.56,6.33
2016-03-31,8.08,$1.70,4.76
2015-12-31,9.96,$-0.39,0.0
2015-09-30,9.57,$-0.42,0.0
2015-06-30,10.17,$-0.47,0.0
2015-03-31,11.29,$-0.73,0.0
2014-12-31,11.51,$0.42,27.26
2014-09-30,10.19,$0.41,25.1
