Evogene Price to Free Cash Flow Ratio Historical Data,Evogene Price to Free Cash Flow Ratio Historical Data,Evogene Price to Free Cash Flow Ratio Historical Data,Evogene Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.38,,0.0
2024-09-30,3.07,$-4.10,0.0
2024-06-30,6.5,$-3.98,0.0
2024-03-31,7.5,$-4.14,0.0
2023-12-31,8.4,$-4.89,0.0
2023-09-30,5.87,$-3.92,0.0
2023-06-30,10.7,$-5.18,0.0
2023-03-31,6.3,$-5.64,0.0
2022-12-31,7.0,$-6.03,0.0
2022-09-30,8.3,$-7.54,0.0
2022-06-30,7.7,$-7.22,0.0
2022-03-31,13.0,$-7.05,0.0
2021-12-31,16.4,$-6.32,0.0
2021-09-30,26.4,$-6.49,0.0
2021-06-30,34.2,$-6.57,0.0
2021-03-31,50.4,$-6.18,0.0
2020-12-31,47.0,$-7.17,0.0
2020-09-30,39.6,$-6.86,0.0
2020-06-30,10.0,$-6.86,0.0
2020-03-31,11.8,$-7.34,0.0
2019-12-31,15.2,$-7.21,0.0
2019-09-30,15.8,$-3.66,0.0
2019-06-30,16.1,$-3.61,0.0
2019-03-31,18.3,$-3.43,0.0
2018-12-31,19.8,$-3.25,0.0
2018-09-30,31.1,$-6.30,0.0
2018-06-30,28.6,$-6.19,0.0
2018-03-31,31.75,$-6.38,0.0
2017-12-31,30.7,$-6.43,0.0
2017-09-30,44.4,$-6.69,0.0
2017-06-30,50.6,$-6.57,0.0
2017-03-31,53.47,$-5.96,0.0
2016-12-31,51.0,$-4.91,0.0
2016-09-30,63.8,$-5.38,0.0
2016-06-30,62.4,$-5.21,0.0
2016-03-31,65.1,$-5.54,0.0
2015-12-31,80.5,$-5.79,0.0
2015-09-30,82.5,$-4.60,0.0
2015-06-30,88.4,$-5.27,0.0
2015-03-31,88.2,$-4.74,0.0
2014-12-31,92.1,$-4.90,0.0
2014-09-30,131.6,$-5.58,0.0
2014-06-30,163.8,$-4.34,0.0
2014-03-31,190.5,$-3.83,0.0
2013-12-31,196.5,$-3.26,0.0
2013-09-30,152.0,$-1.48,0.0
2013-06-30,128.0,$-0.76,0.0
2013-03-31,101.0,$-1.57,0.0
2012-12-31,94.0,$-1.25,0.0
2012-09-30,75.0,$-1.86,0.0
