Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,96.98,,312.44
2024-12-31,97.55,$0.31,314.27
2024-09-30,118.75,$-3.69,0.0
2024-06-30,115.7,$-5.01,0.0
2024-03-31,126.11,$-3.73,0.0
2023-12-31,122.8,$-5.02,0.0
2023-09-30,96.02,$-11.17,0.0
2023-06-30,107.52,$-11.57,0.0
2023-03-31,117.69,$-13.43,0.0
2022-12-31,135.19,$-24.10,0.0
2022-09-30,129.03,$-31.53,0.0
2022-06-30,132.36,$-35.56,0.0
2022-03-31,182.18,$-42.68,0.0
2021-12-31,200.69,$-42.88,0.0
2021-09-30,171.1,$-31.28,0.0
2021-06-30,161.99,$-34.34,0.0
2021-03-31,145.39,$-28.65,0.0
2020-12-31,156.68,$-18.87,0.0
2020-09-30,139.79,$-28.49,0.0
2020-06-30,140.83,$-25.99,0.0
2020-03-31,118.19,$-27.28,0.0
2019-12-31,138.35,$-26.52,0.0
2019-09-30,131.04,$-17.15,0.0
2019-06-30,119.25,$-13.69,0.0
2019-03-31,119.64,$-14.20,0.0
2018-12-31,96.06,$-13.30,0.0
2018-09-30,103.97,$-13.74,0.0
2018-06-30,103.5,$-12.81,0.0
2018-03-31,101.7,$-12.09,0.0
2017-12-31,105.57,$-11.98,0.0
2017-09-30,95.52,$-18.91,0.0
2017-06-30,96.02,$-18.99,0.0
2017-03-31,87.47,$-16.63,0.0
2016-12-31,87.29,$-13.73,0.0
2016-09-30,84.79,$-5.32,0.0
2016-06-30,80.13,$-5.43,0.0
2016-03-31,69.79,$-5.22,0.0
2015-12-31,68.78,$-4.76,0.0
2015-09-30,63.91,$-4.52,0.0
2015-06-30,65.43,$-2.57,0.0
2015-03-31,72.71,$-2.15,0.0
2014-12-31,65.32,$-2.95,0.0
2014-09-30,53.84,$-3.97,0.0
2014-06-30,56.14,$-4.92,0.0
2014-03-31,51.98,$-4.60,0.0
2013-12-31,45.13,$-3.66,0.0
2013-09-30,44.81,$-2.98,0.0
2013-06-30,45.65,$-2.27,0.0
2013-03-31,48.8,$-2.72,0.0
2012-12-31,47.26,$-4.01,0.0
2012-09-30,49.72,$-4.29,0.0
2012-06-30,48.83,$-4.31,0.0
2012-03-31,48.74,$-8.72,0.0
2011-12-31,45.66,$-7.92,0.0
2011-09-30,40.35,$-7.49,0.0
2011-06-30,50.5,$-8.90,0.0
2011-03-31,50.56,$-4.49,0.0
2010-12-31,47.23,$-4.60,0.0
2010-09-30,44.85,$-5.30,0.0
2010-06-30,40.4,$-4.76,0.0
2010-03-31,42.86,$-4.40,0.0
2009-12-31,40.55,$-5.65,0.0
