Timken Price to Free Cash Flow Ratio Historical Data,Timken Price to Free Cash Flow Ratio Historical Data,Timken Price to Free Cash Flow Ratio Historical Data,Timken Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,74.69,,16.34
2024-12-31,71.37,$4.57,15.62
2024-09-30,83.9,$3.60,23.32
2024-06-30,79.43,$4.50,17.67
2024-03-31,86.35,$4.55,18.96
2023-12-31,78.84,$4.98,15.82
2023-09-30,71.95,$6.52,11.04
2023-06-30,89.24,$5.76,15.5
2023-03-31,79.32,$4.94,16.05
2022-12-31,68.35,$3.97,17.22
2022-09-30,56.86,$2.16,26.36
2022-06-30,50.86,$1.61,31.68
2022-03-31,57.89,$2.61,22.16
2021-12-31,65.79,$3.11,21.14
2021-09-30,61.86,$3.47,17.82
2021-06-30,75.89,$4.26,17.82
2021-03-31,76.17,$5.70,13.36
2020-12-31,72.31,$5.99,12.07
2020-09-30,50.48,$6.73,7.5
2020-06-30,42.14,$6.46,6.52
2020-03-31,29.75,$5.23,5.69
2019-12-31,51.52,$5.41,9.53
2019-09-30,39.6,$4.69,8.44
2019-06-30,46.4,$4.81,9.66
2019-03-31,39.18,$4.11,9.54
2018-12-31,33.31,$2.83,11.79
2018-09-30,44.18,$2.43,18.19
2018-06-30,38.37,$1.02,37.61
2018-03-31,39.95,$0.63,63.34
2017-12-31,42.8,$1.76,24.26
2017-09-30,42.03,$1.91,22.0
2017-06-30,39.79,$2.42,16.46
2017-03-31,38.67,$3.43,11.28
2016-12-31,33.76,$3.38,9.99
2016-09-30,29.68,$3.54,8.39
2016-06-30,25.7,$4.49,5.73
2016-03-31,27.85,$3.64,7.66
2015-12-31,23.58,$3.33,7.07
2015-09-30,22.48,$3.09,7.28
2015-06-30,29.67,$2.10,14.1
2015-03-31,33.97,$1.89,17.97
2014-12-31,34.2,$2.18,15.7
2014-09-30,33.77,$2.87,11.76
2014-06-30,38.2,$3.25,11.74
2014-03-31,32.97,$4.50,7.33
2013-12-31,30.75,$3.17,9.71
2013-09-30,33.63,$5.06,6.64
2013-06-30,31.25,$4.78,6.53
2013-03-31,31.33,$5.07,6.18
2012-12-31,26.41,$5.26,5.02
2012-09-30,20.44,$3.61,5.66
2012-06-30,25.09,$3.49,7.2
2012-03-31,27.71,$1.39,19.95
2011-12-31,21.08,$0.04,506.7
2011-09-30,17.81,$-2.26,0.0
2011-06-30,27.25,$-1.45,0.0
2011-03-31,28.2,$0.13,221.51
2010-12-31,25.67,$2.04,12.59
2010-09-30,20.57,$3.95,5.21
2010-06-30,13.9,$4.13,3.37
2010-03-31,16.0,$4.64,3.45
2009-12-31,12.61,$4.95,2.55
