Bentley Systems Price to Free Cash Flow Ratio Historical Data,Bentley Systems Price to Free Cash Flow Ratio Historical Data,Bentley Systems Price to Free Cash Flow Ratio Historical Data,Bentley Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.65,,33.0
2024-12-31,46.7,$1.26,37.0
2024-09-30,50.81,$1.28,39.74
2024-06-30,49.36,$1.22,40.44
2024-03-31,52.22,$1.26,41.36
2023-12-31,52.18,$1.18,44.3
2023-09-30,50.16,$1.01,49.58
2023-06-30,54.23,$1.02,53.07
2023-03-31,42.99,$1.00,43.18
2022-12-31,36.96,$0.78,47.5
2022-09-30,30.59,$0.92,33.15
2022-06-30,33.3,$0.91,36.59
2022-03-31,44.14,$0.76,58.33
2021-12-31,48.25,$0.86,56.12
2021-09-30,60.5,$0.90,67.04
2021-06-30,64.6,$1.25,51.58
