Canadian Natural Resources Price to Free Cash Flow Ratio Historical Data,Canadian Natural Resources Price to Free Cash Flow Ratio Historical Data,Canadian Natural Resources Price to Free Cash Flow Ratio Historical Data,Canadian Natural Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.81,,9.34
2024-09-30,32.63,$3.30,9.89
2024-06-30,34.56,$3.53,9.8
2024-03-31,36.63,$3.09,11.85
2023-12-31,31.12,$2.50,12.44
2023-09-30,30.35,$2.29,13.28
2023-06-30,26.13,$3.17,8.24
2023-03-31,25.4,$4.29,5.92
2022-12-31,25.16,$4.77,5.27
2022-09-30,20.86,$4.77,4.37
2022-06-30,23.3,$4.17,5.59
2022-03-31,26.63,$3.25,8.19
2021-12-31,17.98,$3.36,5.35
2021-09-30,15.38,$2.46,6.26
2021-06-30,15.11,$1.80,8.39
2021-03-31,12.71,$0.97,13.11
2020-12-31,9.78,$0.68,14.38
2020-09-30,6.42,$0.97,6.64
2020-06-30,6.87,$1.06,6.48
2020-03-31,5.25,$1.92,2.74
2019-12-31,12.07,$1.65,7.32
2019-09-30,9.84,$1.31,7.54
2019-06-30,9.86,$1.46,6.73
2019-03-31,9.95,$1.36,7.3
2018-12-31,8.64,$1.79,4.83
2018-09-30,11.59,$1.79,6.46
2018-06-30,12.7,$1.27,9.96
2018-03-31,10.99,$1.01,10.86
2017-12-31,12.37,$0.84,14.79
2017-09-30,11.53,$0.93,12.34
2017-06-30,9.86,$0.71,13.87
2017-03-31,11.13,$0.30,36.89
2016-12-31,10.75,$-0.12,0.0
2016-09-30,10.74,$-0.08,0.0
2016-06-30,10.28,$0.13,81.49
2016-03-31,8.94,$0.28,32.33
2015-12-31,7.19,$0.42,17.25
2015-09-30,6.35,$0.25,25.19
2015-06-30,8.8,$0.20,44.56
2015-03-31,9.88,$-1.02,0.0
2014-12-31,9.88,$-1.22,0.0
2014-09-30,12.34,$-1.23,0.0
2014-06-30,14.51,$-1.10,0.0
2014-03-31,12.07,$0.11,112.08
2013-12-31,10.59,$0.07,157.06
2013-09-30,9.78,$-0.06,0.0
2013-06-30,8.76,$-0.31,0.0
2013-03-31,9.91,$-0.15,0.0
2012-12-31,8.87,$0.05,185.26
2012-09-30,9.43,$0.32,29.72
2012-06-30,8.2,$-1.11,0.0
2012-03-31,10.09,$0.17,59.62
2011-12-31,11.33,$0.02,583.9
2011-09-30,8.85,$-0.36,0.0
2011-06-30,12.62,$1.42,8.87
2011-03-31,14.87,$0.25,59.87
2010-12-31,13.34,$0.43,31.26
2010-09-30,10.37,$0.89,11.62
2010-06-30,9.94,$1.01,9.86
2010-03-31,11.05,$1.07,10.32
2009-12-31,10.72,$1.16,9.22
