Hamilton Lane Price to Free Cash Flow Ratio Historical Data,Hamilton Lane Price to Free Cash Flow Ratio Historical Data,Hamilton Lane Price to Free Cash Flow Ratio Historical Data,Hamilton Lane Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,149.2,,29.73
2024-12-31,148.05,$5.02,29.5
2024-09-30,167.9,$3.22,52.12
2024-06-30,122.83,$2.47,49.72
2024-03-31,111.6,$2.04,54.8
2023-12-31,111.81,$1.88,59.32
2023-09-30,88.78,$3.67,24.16
2023-06-30,78.13,$4.04,19.33
2023-03-31,71.85,$4.13,17.39
2022-12-31,61.67,$4.21,14.63
2022-09-30,57.23,$3.73,15.35
2022-06-30,64.13,$3.33,19.25
2022-03-31,73.31,$3.00,24.44
2021-12-31,97.81,$3.77,25.96
2021-09-30,79.8,$4.57,17.45
2021-06-30,85.38,$4.33,19.73
2021-03-31,82.66,$5.08,16.27
2020-12-31,72.59,$4.42,16.42
2020-09-30,59.81,$4.31,13.88
2020-06-30,62.07,$4.34,14.3
2020-03-31,50.71,$4.02,12.61
2019-12-31,54.38,$3.99,13.64
2019-09-30,51.73,$3.72,13.91
2019-06-30,51.58,$3.98,12.96
2019-03-31,39.4,$4.37,9.01
2018-12-31,33.28,$3.77,8.83
2018-09-30,39.59,$4.65,8.52
2018-06-30,42.69,$5.01,8.52
2018-03-31,32.98,$4.97,6.63
2017-12-31,31.2,$9.58,3.26
