EOG Resources Price to Free Cash Flow Ratio Historical Data,EOG Resources Price to Free Cash Flow Ratio Historical Data,EOG Resources Price to Free Cash Flow Ratio Historical Data,EOG Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,124.3,,12.21
2024-12-31,122.58,$10.18,12.04
2024-09-30,122.06,$10.44,11.69
2024-06-30,124.12,$8.80,14.1
2024-03-31,125.2,$8.00,15.65
2023-12-31,117.5,$9.07,12.96
2023-09-30,120.89,$9.97,12.12
2023-06-30,108.39,$14.12,7.67
2023-03-31,107.83,$14.01,7.7
2022-12-31,119.89,$10.97,10.92
2022-09-30,101.57,$11.18,9.09
2022-06-30,98.45,$7.20,13.67
2022-03-31,104.21,$7.11,14.66
2021-12-31,76.42,$8.86,8.63
2021-09-30,67.17,$5.53,12.15
2021-06-30,68.55,$4.80,14.29
2021-03-31,59.25,$3.05,19.43
2020-12-31,40.49,$3.00,13.51
2020-09-30,28.9,$3.44,8.39
2020-06-30,40.42,$2.95,13.71
2020-03-31,28.39,$5.48,5.18
2019-12-31,65.98,$3.24,20.38
2019-09-30,58.22,$4.02,14.47
2019-06-30,72.84,$3.95,18.45
2019-03-31,74.26,$2.46,30.19
2018-12-31,67.89,$3.31,20.53
2018-09-30,99.13,$2.11,46.94
2018-06-30,96.55,$0.98,98.81
2018-03-31,81.55,$0.83,97.67
2017-12-31,83.47,$0.64,131.3
2017-09-30,74.7,$1.41,52.81
2017-06-30,69.77,$2.18,31.95
2017-03-31,75.06,$2.12,35.44
2016-12-31,77.67,$1.62,48.0
2016-09-30,74.16,$-0.02,0.0
2016-06-30,63.84,$-0.96,0.0
2016-03-31,55.43,$-1.68,0.0
2015-12-31,53.92,$-2.25,0.0
2015-09-30,55.34,$-0.86,0.0
2015-06-30,66.42,$-0.05,0.0
2015-03-31,69.44,$-0.00,0.0
2014-12-31,69.6,$1.77,39.29
2014-09-30,74.71,$1.57,47.57
2014-06-30,88.07,$1.31,67.25
2014-03-31,73.83,$2.20,33.49
2013-12-31,63.1,$1.88,33.48
2013-09-30,63.58,$0.60,105.5
2013-06-30,49.39,$0.06,883.53
2013-03-31,47.96,$-0.15,0.0
2012-12-31,45.18,$-1.49,0.0
2012-09-30,41.84,$-1.85,0.0
2012-06-30,33.59,$-1.63,0.0
2012-03-31,41.34,$-1.82,0.0
2011-12-31,36.6,$-1.76,0.0
2011-09-30,26.33,$-1.82,0.0
2011-06-30,38.71,$-3.07,0.0
2011-03-31,43.81,$-4.24,0.0
2010-12-31,33.74,$-4.32,0.0
2010-09-30,34.26,$-3.40,0.0
2010-06-30,36.2,$-2.20,0.0
2010-03-31,34.15,$-1.16,0.0
2009-12-31,35.7,$-0.73,0.0
