Highwoods Properties Price to Free Cash Flow Ratio Historical Data,Highwoods Properties Price to Free Cash Flow Ratio Historical Data,Highwoods Properties Price to Free Cash Flow Ratio Historical Data,Highwoods Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.9,,11.83
2024-12-31,30.58,$2.44,12.51
2024-09-30,32.98,$3.14,10.5
2024-06-30,25.45,$3.20,7.96
2024-03-31,24.89,$2.76,9.03
2023-12-31,21.38,$2.41,8.87
2023-09-30,18.69,$1.76,10.6
2023-06-30,21.21,$0.18,120.51
2023-03-31,20.08,$0.66,30.3
2022-12-31,23.81,$0.79,30.0
2022-09-30,22.54,$2.49,9.05
2022-06-30,28.17,$2.72,10.36
2022-03-31,37.2,$2.16,17.2
2021-12-31,35.85,$2.46,14.57
2021-09-30,34.89,$1.65,21.12
2021-06-30,35.55,$2.92,12.19
2021-03-31,33.42,$2.26,14.8
2020-12-31,30.48,$4.49,6.79
2020-09-30,25.48,$0.33,77.12
2020-06-30,27.98,$0.38,74.24
2020-03-31,26.15,$0.72,36.28
2019-12-31,35.79,$-2.20,0.0
2019-09-30,32.55,$1.35,24.17
2019-06-30,29.59,$1.04,28.38
2019-03-31,33.16,$1.01,33.0
2018-12-31,27.15,$0.53,50.89
2018-09-30,32.82,$0.45,72.29
2018-06-30,34.9,$1.32,26.54
2018-03-31,29.84,$1.04,28.6
2017-12-31,34.3,$1.47,23.26
2017-09-30,34.8,$0.76,45.93
2017-06-30,33.59,$-1.26,0.0
2017-03-31,32.25,$-1.38,0.0
2016-12-31,33.2,$5.23,6.35
2016-09-30,33.09,$5.39,6.14
2016-06-30,33.26,$2.44,13.63
2016-03-31,29.85,$2.44,12.24
2015-12-31,26.94,$-4.12,0.0
2015-09-30,23.71,$-4.84,0.0
2015-06-30,24.19,$-0.50,0.0
2015-03-31,27.45,$-0.56,0.0
2014-12-31,26.31,$-0.77,0.0
2014-09-30,22.88,$1.23,18.6
2014-06-30,24.43,$0.08,313.61
2014-03-31,22.14,$-0.69,0.0
2013-12-31,20.61,$-1.12,0.0
2013-09-30,19.89,$-3.37,0.0
2013-06-30,19.81,$-2.79,0.0
2013-03-31,21.78,$-1.48,0.0
2012-12-31,17.98,$-0.66,0.0
2012-09-30,17.31,$0.82,21.18
2012-06-30,17.63,$0.39,44.77
2012-03-31,17.23,$0.25,70.34
2011-12-31,15.15,$0.37,40.42
2011-09-30,14.22,$0.18,78.6
2011-06-30,16.44,$0.94,17.51
2011-03-31,17.16,$1.10,15.58
2010-12-31,15.42,$1.25,12.32
2010-09-30,15.52,$1.16,13.38
2010-06-30,13.08,$1.12,11.73
2010-03-31,14.75,$1.77,8.34
2009-12-31,15.26,$1.59,9.57
