"MARKER THERAPEUTICS, INC Price to Free Cash Flow Ratio Historical Data","MARKER THERAPEUTICS, INC Price to Free Cash Flow Ratio Historical Data","MARKER THERAPEUTICS, INC Price to Free Cash Flow Ratio Historical Data","MARKER THERAPEUTICS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.25,,0.0
2024-09-30,2.82,$-0.97,0.0
2024-06-30,5.43,$-1.23,0.0
2024-03-31,4.3,$-1.62,0.0
2023-12-31,5.5,$-1.87,0.0
2023-09-30,4.54,$-2.35,0.0
2023-06-30,3.1,$-3.14,0.0
2023-03-31,0.71,$-2.14,0.0
2022-12-31,2.66,$-3.23,0.0
2022-09-30,3.69,$-3.41,0.0
2022-06-30,3.3,$-3.52,0.0
2022-03-31,4.4,$-4.06,0.0
2021-12-31,9.5,$-3.97,0.0
2021-09-30,16.9,$-5.06,0.0
2021-06-30,27.9,$-5.59,0.0
2021-03-31,22.4,$-7.00,0.0
2020-12-31,14.5,$-6.23,0.0
2020-09-30,15.0,$-5.21,0.0
2020-06-30,20.7,$-4.90,0.0
2020-03-31,19.0,$-4.10,0.0
2019-12-31,28.8,$-4.09,0.0
2019-09-30,51.1,$-4.69,0.0
2019-06-30,79.2,$-5.49,0.0
2019-03-31,66.0,$-6.36,0.0
2018-12-31,55.5,$-7.66,0.0
2018-09-30,90.5,$-9.15,0.0
2018-06-30,94.3,$-8.35,0.0
2018-03-31,33.8,$-8.85,0.0
2017-12-31,39.2,$-8.93,0.0
2017-09-30,30.1,$-14.61,0.0
