United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.64,,26.8
2024-12-31,43.41,$1.63,26.65
2024-09-30,44.9,$1.44,31.29
2024-06-30,40.33,$1.21,33.31
2024-03-31,36.26,$1.09,33.15
2023-12-31,36.71,$1.05,34.85
2023-09-30,33.8,$1.04,32.5
2023-06-30,40.31,$1.13,35.73
2023-03-31,38.13,$0.15,247.93
2022-12-31,35.62,$0.14,256.06
2022-09-30,37.98,$-1.04,0.0
2022-06-30,41.57,$-3.15,0.0
2022-03-31,51.47,$-3.00,0.0
2021-12-31,53.48,$-3.07,0.0
2021-09-30,46.92,$-2.86,0.0
2021-06-30,43.07,$-0.85,0.0
2021-03-31,38.26,$0.00,0.0
2020-12-31,33.2,$-0.34,0.0
2020-09-30,27.89,$0.30,91.66
2020-06-30,31.65,$-1.30,0.0
2020-03-31,30.66,$-2.44,0.0
2019-12-31,38.89,$-3.32,0.0
2019-09-30,40.09,$-2.93,0.0
2019-06-30,36.85,$-1.17,0.0
2019-03-31,37.04,$-0.22,0.0
2018-12-31,32.01,$1.09,29.42
2018-09-30,32.41,$0.74,43.54
2018-06-30,29.83,$0.58,51.47
2018-03-31,28.05,$0.49,57.1
2017-12-31,30.09,$0.18,170.36
2017-09-30,29.46,$-0.08,0.0
2017-06-30,29.95,$-0.00,0.0
2017-03-31,27.63,$0.06,455.91
2016-12-31,27.57,$0.37,74.38
2016-09-30,26.97,$0.06,418.73
2016-06-30,27.44,$-0.07,0.0
2016-03-31,28.42,$0.05,623.17
2015-12-31,27.5,$-0.03,0.0
2015-09-30,25.04,$0.42,59.5
2015-06-30,23.07,$-0.07,0.0
2015-03-31,24.3,$-0.28,0.0
2014-12-31,21.83,$-0.73,0.0
2014-09-30,19.12,$-0.71,0.0
2014-06-30,19.91,$-0.33,0.0
2014-03-31,17.78,$-0.55,0.0
2013-12-31,15.91,$-0.41,0.0
2013-09-30,15.99,$-0.91,0.0
2013-06-30,17.03,$-0.95,0.0
2013-03-31,16.01,$-0.88,0.0
2012-12-31,15.6,$-0.76,0.0
2012-09-30,15.99,$-0.61,0.0
2012-06-30,16.5,$-4.41,0.0
2012-03-31,16.92,$-4.79,0.0
2011-12-31,15.76,$-4.68,0.0
2011-09-30,13.78,$-4.15,0.0
2011-06-30,15.16,$-2.25,0.0
2011-03-31,14.93,$-1.78,0.0
2010-12-31,14.29,$-1.83,0.0
2010-09-30,12.72,$-2.09,0.0
2010-06-30,11.42,$-0.38,0.0
2010-03-31,10.43,$-0.53,0.0
2009-12-31,9.61,$-0.50,0.0
