Oncology Institute Price to Free Cash Flow Ratio Historical Data,Oncology Institute Price to Free Cash Flow Ratio Historical Data,Oncology Institute Price to Free Cash Flow Ratio Historical Data,Oncology Institute Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.96,,0.0
2024-09-30,0.33,$-0.50,0.0
2024-06-30,0.46,$-0.65,0.0
2024-03-31,1.58,$-0.54,0.0
2023-12-31,2.04,$-0.55,0.0
2023-09-30,1.4,$-0.68,0.0
2023-06-30,0.55,$-0.79,0.0
2023-03-31,0.68,$-0.83,0.0
2022-12-31,1.65,$-0.83,0.0
2022-09-30,4.63,$-1.01,0.0
2022-06-30,5.06,$-0.83,0.0
2022-03-31,7.13,$-0.77,0.0
2021-12-31,9.75,$-0.54,0.0
2021-09-30,9.94,$-0.10,0.0
2021-06-30,9.95,$-0.05,0.0
2021-03-31,9.96,$-0.01,0.0
