LoanDepot Price to Free Cash Flow Ratio Historical Data,LoanDepot Price to Free Cash Flow Ratio Historical Data,LoanDepot Price to Free Cash Flow Ratio Historical Data,LoanDepot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.41,,0.0
2024-12-31,2.04,$-4.80,0.0
2024-09-30,2.73,$-3.98,0.0
2024-06-30,1.65,$-3.41,0.0
2024-03-31,2.59,$-3.15,0.0
2023-12-31,3.52,$-1.11,0.0
2023-09-30,1.72,$1.45,1.18
2023-06-30,2.12,$10.31,0.21
2023-03-31,1.61,$21.32,0.08
2022-12-31,1.65,$28.31,0.06
2022-09-30,1.32,$31.39,0.04
2022-06-30,1.44,$23.64,0.06
2022-03-31,4.07,$11.51,0.35
2021-12-31,4.71,$-11.69,0.0
