OGE Energy Price to Free Cash Flow Ratio Historical Data,OGE Energy Price to Free Cash Flow Ratio Historical Data,OGE Energy Price to Free Cash Flow Ratio Historical Data,OGE Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.26,,0.0
2024-12-31,41.25,$-1.38,0.0
2024-09-30,40.59,$-0.49,0.0
2024-06-30,34.91,$-0.42,0.0
2024-03-31,33.13,$0.12,280.29
2023-12-31,33.35,$0.27,123.82
2023-09-30,31.42,$-0.67,0.0
2023-06-30,33.46,$1.34,24.88
2023-03-31,34.72,$-0.25,0.0
2022-12-31,36.08,$-0.49,0.0
2022-09-30,32.86,$0.69,47.68
2022-06-30,34.38,$-1.64,0.0
2022-03-31,36.01,$-0.35,0.0
2021-12-31,33.52,$-5.03,0.0
2021-09-30,28.44,$-5.56,0.0
2021-06-30,28.69,$-5.20,0.0
2021-03-31,27.25,$-5.06,0.0
2020-12-31,26.5,$0.31,85.11
2020-09-30,24.63,$1.05,23.52
2020-06-30,24.62,$1.07,23.06
2020-03-31,24.61,$0.73,33.66
2019-12-31,35.3,$0.23,154.03
2019-09-30,35.71,$0.11,333.72
2019-06-30,33.21,$0.56,59.66
2019-03-31,33.36,$1.12,29.86
2018-12-31,30.04,$1.88,15.95
2018-09-30,27.57,$2.28,12.07
2018-06-30,26.47,$1.67,15.82
2018-03-31,24.38,$0.60,40.78
2017-12-31,24.24,$-0.19,0.0
2017-09-30,26.29,$-0.87,0.0
2017-06-30,25.16,$-0.71,0.0
2017-03-31,25.08,$-0.19,0.0
2016-12-31,23.77,$-0.07,0.0
2016-09-30,22.25,$0.23,96.19
2016-06-30,22.85,$0.39,59.26
2016-03-31,19.78,$0.94,21.15
2015-12-31,17.97,$1.61,11.15
2015-09-30,18.52,$1.80,10.29
2015-06-30,19.17,$1.74,11.0
2015-03-31,21.05,$1.66,12.65
2014-12-31,23.46,$0.77,30.64
2014-09-30,24.37,$0.42,58.26
2014-06-30,25.51,$0.02,1565.01
2014-03-31,23.85,$-1.24,0.0
2013-12-31,21.84,$-1.66,0.0
2013-09-30,23.12,$-1.87,0.0
2013-06-30,21.71,$-1.75,0.0
2013-03-31,22.15,$-1.02,0.0
2012-12-31,17.69,$-0.78,0.0
2012-09-30,17.3,$-2.08,0.0
2012-06-30,16.03,$-2.71,0.0
2012-03-31,16.44,$-3.25,0.0
2011-12-31,17.31,$-2.87,0.0
2011-09-30,14.47,$-1.95,0.0
2011-06-30,15.12,$-2.02,0.0
2011-03-31,15.08,$-0.78,0.0
2010-12-31,13.47,$-0.32,0.0
2010-09-30,11.7,$0.32,37.12
2010-06-30,10.62,$0.92,11.49
2010-03-31,11.21,$0.09,121.36
2009-12-31,10.52,$-0.79,0.0
