CbdMD Price to Free Cash Flow Ratio Historical Data,CbdMD Price to Free Cash Flow Ratio Historical Data,CbdMD Price to Free Cash Flow Ratio Historical Data,CbdMD Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.29,,0.0
2024-12-31,0.38,$-0.13,0.0
2024-09-30,0.47,$-0.13,0.0
2024-06-30,0.59,$-0.70,0.0
2024-03-31,0.93,$0.27,3.45
2023-12-31,1.04,$-0.70,0.0
2023-09-30,1.04,$-2.27,0.0
2023-06-30,1.4,$-3.07,0.0
2023-03-31,8.78,$-6.24,0.0
2022-12-31,10.22,$-9.02,0.0
2022-09-30,10.13,$-11.79,0.0
2022-06-30,19.81,$-14.94,0.0
2022-03-31,46.8,$-15.73,0.0
2021-12-31,48.6,$-14.30,0.0
2021-09-30,93.6,$-11.84,0.0
2021-06-30,130.5,$-19.34,0.0
2021-03-31,186.3,$-3.28,0.0
2020-12-31,132.75,$-5.36,0.0
2020-09-30,90.0,$-11.95,0.0
2020-06-30,85.95,0,0.0
2020-03-31,41.85,$7.03,5.95
2019-12-31,101.7,$-3.31,0.0
2019-09-30,178.2,$-0.00,0.0
2019-06-30,265.5,$-5.57,0.0
2019-03-31,198.9,$-32.85,0.0
2018-12-31,139.05,$-25.90,0.0
2018-09-30,163.35,$-32.53,0.0
