Creative Medical Technology Holdings Price to Free Cash Flow Ratio Historical Data,Creative Medical Technology Holdings Price to Free Cash Flow Ratio Historical Data,Creative Medical Technology Holdings Price to Free Cash Flow Ratio Historical Data,Creative Medical Technology Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.78,,0.0
2024-09-30,3.1,$-3.83,0.0
2024-06-30,3.85,$-3.96,0.0
2024-03-31,5.21,$-3.60,0.0
2023-12-31,4.61,$-5.70,0.0
2023-09-30,4.92,$-8.43,0.0
2023-06-30,4.64,$-6.86,0.0
2023-03-31,5.0,$-7.42,0.0
2022-12-31,3.81,$-7.13,0.0
2022-09-30,4.4,$-9.81,0.0
