HIVE Digital Technologies Price to Free Cash Flow Ratio Historical Data,HIVE Digital Technologies Price to Free Cash Flow Ratio Historical Data,HIVE Digital Technologies Price to Free Cash Flow Ratio Historical Data,HIVE Digital Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.67,,0.0
2024-12-31,2.85,$-1.21,0.0
2024-09-30,3.13,$-0.90,0.0
2024-06-30,3.08,$-0.82,0.0
2024-03-31,3.37,$-0.71,0.0
2023-12-31,4.53,$-0.37,0.0
2023-09-30,3.08,$-0.26,0.0
2023-06-30,4.63,$0.03,132.66
2023-03-31,3.29,$0.05,70.0
2022-12-31,1.44,$-0.51,0.0
2022-09-30,3.76,$-0.76,0.0
2022-06-30,2.99,$-1.68,0.0
