DMY Squared Technology Price to Free Cash Flow Ratio Historical Data,DMY Squared Technology Price to Free Cash Flow Ratio Historical Data,DMY Squared Technology Price to Free Cash Flow Ratio Historical Data,DMY Squared Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.1,,0.0
2024-09-30,10.73,$-0.84,0.0
2024-06-30,10.72,$-0.82,0.0
2024-03-31,10.63,$-0.27,0.0
2023-12-31,10.6,$-0.38,0.0
2023-09-30,10.45,$-1.08,0.0
