GAN Price to Free Cash Flow Ratio Historical Data,GAN Price to Free Cash Flow Ratio Historical Data,GAN Price to Free Cash Flow Ratio Historical Data,GAN Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.78,,0.0
2024-09-30,1.77,$-0.08,0.0
2024-06-30,1.48,$-0.13,0.0
2024-03-31,1.27,$-0.12,0.0
2023-12-31,1.58,$-0.23,0.0
2023-09-30,1.16,$-0.15,0.0
2023-06-30,1.64,$-0.15,0.0
2023-03-31,1.29,$-0.29,0.0
2022-12-31,1.5,$-0.31,0.0
2022-09-30,2.22,$-0.58,0.0
2022-06-30,2.96,$-0.63,0.0
2022-03-31,4.82,$-0.42,0.0
2021-12-31,9.19,$-0.44,0.0
2021-09-30,14.87,$-0.40,0.0
2021-06-30,16.44,$-0.50,0.0
2021-03-31,18.2,$-0.60,0.0
