Allogene Therapeutics Price to Free Cash Flow Ratio Historical Data,Allogene Therapeutics Price to Free Cash Flow Ratio Historical Data,Allogene Therapeutics Price to Free Cash Flow Ratio Historical Data,Allogene Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.63,,0.0
2024-12-31,2.13,$-1.03,0.0
2024-09-30,2.8,$-1.20,0.0
2024-06-30,2.33,$-1.27,0.0
2024-03-31,4.47,$-1.39,0.0
2023-12-31,3.21,$-1.52,0.0
2023-09-30,3.17,$-1.56,0.0
2023-06-30,4.97,$-1.67,0.0
2023-03-31,4.94,$-1.55,0.0
2022-12-31,6.29,$-1.58,0.0
2022-09-30,10.8,$-1.48,0.0
2022-06-30,11.4,$-1.51,0.0
2022-03-31,9.11,$-1.59,0.0
2021-12-31,14.92,$-1.52,0.0
2021-09-30,25.7,$-1.46,0.0
2021-06-30,26.08,$-1.47,0.0
2021-03-31,35.3,$-1.44,0.0
2020-12-31,25.24,$-1.50,0.0
2020-09-30,37.71,$-1.86,0.0
2020-06-30,42.82,$-1.96,0.0
2020-03-31,19.44,$-1.93,0.0
2019-12-31,25.98,$-1.86,0.0
2019-09-30,27.26,$-2.94,0.0
