"Corporacion Inmobiliaria Vesta, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Corporacion Inmobiliaria Vesta, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Corporacion Inmobiliaria Vesta, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Corporacion Inmobiliaria Vesta, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.68,,15.98
2024-12-31,25.6,$1.48,17.28
2024-09-30,26.94,$2.10,12.83
2024-06-30,29.99,$1.56,19.23
2024-03-31,39.24,$1.89,20.81
