Definitive Healthcare Price to Free Cash Flow Ratio Historical Data,Definitive Healthcare Price to Free Cash Flow Ratio Historical Data,Definitive Healthcare Price to Free Cash Flow Ratio Historical Data,Definitive Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.79,,7.1
2024-12-31,4.11,$0.39,10.46
2024-09-30,4.47,$0.46,9.74
2024-06-30,5.46,$0.37,14.74
2024-03-31,8.07,$0.35,22.92
2023-12-31,9.94,$0.34,29.33
2023-09-30,7.99,$0.21,37.34
2023-06-30,11.0,$0.21,51.21
2023-03-31,10.33,$0.26,39.25
2022-12-31,10.99,$0.27,40.78
2022-09-30,15.54,$0.38,40.83
2022-06-30,22.93,$0.48,47.9
