Verb Technology Price to Free Cash Flow Ratio Historical Data,Verb Technology Price to Free Cash Flow Ratio Historical Data,Verb Technology Price to Free Cash Flow Ratio Historical Data,Verb Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.12,,0.0
2024-09-30,9.56,$-21.27,0.0
2024-06-30,24.8,$-30.02,0.0
2024-03-31,53.0,$-117.57,0.0
2023-12-31,34.42,$-265.13,0.0
2023-09-30,140.04,$-548.14,0.0
2023-06-30,216.0,$-760.07,0.0
2023-03-31,959.2,$-817.96,0.0
2022-12-31,1312.8,"$-1,511.96",0.0
2022-09-30,3760.0,"$-2,306.21",0.0
2022-06-30,4175.2,"$-2,825.98",0.0
2022-03-31,7584.8,"$-3,345.64",0.0
2021-12-31,9920.0,"$-3,553.13",0.0
2021-09-30,15360.0,"$-4,192.91",0.0
2021-06-30,16400.0,"$-4,075.67",0.0
2021-03-31,11200.0,"$-4,018.77",0.0
2020-12-31,13200.0,"$-3,690.06",0.0
2020-09-30,8640.0,"$-2,942.81",0.0
2020-06-30,8880.0,"$-3,305.79",0.0
2020-03-31,10080.0,"$-4,009.78",0.0
