Knight-Swift Transportation Holdings Price to Free Cash Flow Ratio Historical Data,Knight-Swift Transportation Holdings Price to Free Cash Flow Ratio Historical Data,Knight-Swift Transportation Holdings Price to Free Cash Flow Ratio Historical Data,Knight-Swift Transportation Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.53,,30.88
2024-12-31,53.04,$1.44,36.78
2024-09-30,53.79,$1.63,33.02
2024-06-30,49.62,$0.81,60.93
2024-03-31,54.51,$0.83,65.48
2023-12-31,56.96,$2.36,24.08
2023-09-30,49.42,$1.87,26.39
2023-06-30,54.61,$3.65,14.97
2023-03-31,55.48,$3.79,14.64
2022-12-31,51.26,$5.02,10.22
2022-09-30,47.76,$6.31,7.57
2022-06-30,45.08,$6.64,6.79
2022-03-31,49.01,$5.99,8.18
2021-12-31,59.06,$5.44,10.86
2021-09-30,49.49,$4.62,10.71
2021-06-30,43.9,$4.05,10.84
2021-03-31,46.34,$4.21,11.01
2020-12-31,40.23,$3.12,12.9
2020-09-30,39.07,$2.88,13.57
2020-06-30,39.97,$1.84,21.69
2020-03-31,31.37,$0.91,34.37
2019-12-31,34.2,$1.57,21.82
2019-09-30,34.58,$1.59,21.7
2019-06-30,31.23,$1.39,22.55
2019-03-31,31.01,$1.97,15.74
2018-12-31,23.74,$1.98,12.01
2018-09-30,32.6,$0.67,48.35
2018-06-30,36.06,$0.31,115.85
2018-03-31,43.36,$0.56,76.92
2017-12-31,41.15,$0.10,406.64
2017-09-30,39.05,$1.19,32.78
2017-06-30,34.82,$0.59,58.61
2017-03-31,29.47,$1.24,23.77
2016-12-31,31.06,$1.91,16.29
2016-09-30,26.97,$0.31,85.64
2016-06-30,24.98,$1.84,13.58
2016-03-31,24.58,$1.12,22.01
2015-12-31,22.77,$0.55,41.21
2015-09-30,22.56,$1.90,11.87
2015-06-30,25.13,$2.18,11.55
2015-03-31,30.31,$2.49,12.16
2014-12-31,31.64,$2.16,14.67
2014-09-30,25.74,$2.70,9.53
2014-06-30,22.34,$2.64,8.48
2014-03-31,21.74,$2.49,8.73
2013-12-31,17.24,$2.68,6.43
2013-09-30,15.48,$2.95,5.24
2013-06-30,15.7,$3.09,5.09
2013-03-31,14.97,$2.77,5.4
2012-12-31,13.55,$2.74,4.94
2012-09-30,12.76,$2.40,5.31
2012-06-30,14.2,$2.31,6.14
2012-03-31,15.63,$2.00,7.83
2011-12-31,13.79,$1.67,8.27
2011-09-30,11.69,$-1.37,0.0
2011-06-30,14.87,$-0.98,0.0
2011-03-31,16.78,$-1.28,0.0
2010-12-31,16.51,$-1.48,0.0
2010-09-30,16.12,$1.02,15.76
2010-06-30,16.82,$2.17,7.74
2010-03-31,17.48,$2.74,6.37
2009-12-31,15.94,$2.63,6.06
