Sera Prognostics Price to Free Cash Flow Ratio Historical Data,Sera Prognostics Price to Free Cash Flow Ratio Historical Data,Sera Prognostics Price to Free Cash Flow Ratio Historical Data,Sera Prognostics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.93,,0.0
2024-12-31,8.14,$-0.43,0.0
2024-09-30,7.8,$-0.46,0.0
2024-06-30,5.92,$-0.49,0.0
2024-03-31,9.1,$-0.55,0.0
2023-12-31,5.98,$-0.87,0.0
2023-09-30,1.86,$-0.89,0.0
2023-06-30,3.3,$-0.94,0.0
2023-03-31,3.83,$-0.99,0.0
2022-12-31,1.26,$-1.14,0.0
2022-09-30,1.6,$-2.18,0.0
2022-06-30,1.64,$-2.80,0.0
