Gorman-Rupp Price to Free Cash Flow Ratio Historical Data,Gorman-Rupp Price to Free Cash Flow Ratio Historical Data,Gorman-Rupp Price to Free Cash Flow Ratio Historical Data,Gorman-Rupp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.02,,16.75
2024-12-31,37.92,$2.21,17.15
2024-09-30,38.77,$2.87,13.51
2024-06-30,36.37,$3.10,11.73
2024-03-31,38.97,$2.75,14.16
2023-12-31,34.84,$2.96,11.78
2023-09-30,32.08,$1.88,17.09
2023-06-30,27.96,$0.84,33.22
2023-03-31,24.07,$0.20,121.76
2022-12-31,24.51,$-0.16,0.0
2022-09-30,22.62,$0.04,578.54
2022-06-30,26.75,$0.36,74.58
2022-03-31,33.72,$0.98,34.46
2021-12-31,41.68,$1.37,30.5
2021-09-30,33.38,$2.06,16.17
2021-06-30,31.96,$2.08,15.36
2021-03-31,30.59,$1.89,16.21
2020-12-31,29.84,$1.65,18.04
2020-09-30,26.96,$0.69,38.87
2020-06-30,28.32,$1.60,17.76
2020-03-31,28.29,$1.93,14.64
2019-12-31,33.85,$1.96,17.25
2019-09-30,31.28,$2.25,13.87
2019-06-30,29.52,$1.70,17.35
2019-03-31,30.39,$0.97,31.36
2018-12-31,28.9,$1.16,24.94
2018-09-30,30.6,$1.40,21.79
2018-06-30,29.24,$0.92,31.74
2018-03-31,24.34,$1.63,14.89
2017-12-31,25.86,$1.37,18.83
2017-09-30,26.88,$1.11,24.26
2017-06-30,20.93,$1.44,14.55
2017-03-31,25.69,$1.33,19.33
2016-12-31,25.23,$1.84,13.73
2016-09-30,20.79,$1.63,12.77
2016-06-30,22.17,$1.94,11.45
2016-03-31,20.89,$1.69,12.35
2015-12-31,21.44,$1.26,17.07
2015-09-30,19.16,$1.43,13.36
2015-06-30,22.35,$0.89,25.06
2015-03-31,23.75,$1.03,23.16
2014-12-31,25.38,$0.62,40.62
2014-09-30,23.66,$0.64,36.92
2014-06-30,27.78,$0.80,34.76
2014-03-31,24.9,$1.07,23.34
2013-12-31,26.11,$1.23,21.23
2013-09-30,24.99,$1.61,15.49
2013-06-30,19.78,$1.26,15.74
2013-03-31,18.61,$0.61,30.69
2012-12-31,18.41,$0.62,29.71
2012-09-30,16.6,$0.26,65.01
2012-06-30,18.25,$0.36,50.27
2012-03-31,17.81,$0.33,54.65
2011-12-31,16.53,$0.38,43.55
2011-09-30,14.98,$0.50,30.11
2011-06-30,19.92,$0.35,56.74
2011-03-31,19.02,$0.65,29.24
2010-12-31,15.56,$0.78,20.0
2010-09-30,13.22,$0.71,18.5
2010-06-30,11.98,$0.78,15.43
2010-03-31,12.12,$0.62,19.44
2009-12-31,13.11,$0.45,29.36
