Atlantic American Price to Free Cash Flow Ratio Historical Data,Atlantic American Price to Free Cash Flow Ratio Historical Data,Atlantic American Price to Free Cash Flow Ratio Historical Data,Atlantic American Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.44,,29.63
2024-09-30,1.7,$0.05,34.98
2024-06-30,1.69,$0.12,13.75
2024-03-31,2.78,$0.43,6.4
2023-12-31,2.43,$0.12,19.49
2023-09-30,1.91,$0.26,7.36
2023-06-30,1.89,$0.29,6.6
2023-03-31,2.4,$0.11,22.57
2022-12-31,2.3,$0.31,7.4
2022-09-30,2.81,$0.41,6.92
2022-06-30,2.62,$0.47,5.59
2022-03-31,3.05,$-0.02,0.0
2021-12-31,2.39,$0.05,49.68
2021-09-30,4.05,$-0.02,0.0
2021-06-30,4.21,$-0.26,0.0
2021-03-31,3.57,$0.62,5.78
2020-12-31,2.0,$0.40,4.99
2020-09-30,1.94,$0.23,8.32
2020-06-30,1.61,$0.29,5.62
2020-03-31,2.05,$-0.26,0.0
2019-12-31,1.91,$-0.09,0.0
2019-09-30,2.69,$0.09,28.89
2019-06-30,2.38,$0.15,15.67
2019-03-31,2.45,$0.20,12.41
2018-12-31,2.32,$0.21,11.25
2018-09-30,2.4,$0.39,6.24
2018-06-30,2.6,$0.57,4.57
2018-03-31,3.15,$0.56,5.65
2017-12-31,3.25,$0.59,5.5
2017-09-30,3.11,$0.11,27.08
2017-06-30,3.58,$0.17,21.5
2017-03-31,3.8,$0.09,41.34
2016-12-31,3.9,$0.05,86.64
2016-09-30,3.08,$0.04,76.83
2016-06-30,3.77,$-0.22,0.0
2016-03-31,4.21,$-0.05,0.0
2015-12-31,4.73,$0.09,51.47
2015-09-30,3.83,$0.21,18.49
2015-06-30,3.43,$0.08,43.78
2015-03-31,3.8,$0.09,41.82
2014-12-31,3.8,$0.02,241.86
2014-09-30,3.73,$-0.07,0.0
2014-06-30,3.61,$0.42,8.65
2014-03-31,3.41,$0.36,9.38
2013-12-31,3.81,$0.51,7.47
2013-09-30,3.78,$0.52,7.2
2013-06-30,3.64,$0.19,19.27
2013-03-31,3.1,$0.18,17.32
2012-12-31,2.86,$0.28,10.25
2012-09-30,2.5,$0.48,5.17
2012-06-30,2.51,$0.48,5.21
2012-03-31,2.62,$0.48,5.43
2011-12-31,1.78,$0.41,4.38
2011-09-30,1.72,$0.20,8.52
2011-06-30,1.85,$0.15,12.68
2011-03-31,1.96,$0.27,7.3
2010-12-31,1.82,$0.22,8.38
2010-09-30,1.47,$0.12,11.85
2010-06-30,1.21,$0.24,5.15
2010-03-31,1.33,$0.07,18.4
2009-12-31,1.15,$-0.04,0.0
