Surrozen Price to Free Cash Flow Ratio Historical Data,Surrozen Price to Free Cash Flow Ratio Historical Data,Surrozen Price to Free Cash Flow Ratio Historical Data,Surrozen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.79,,0.0
2024-09-30,11.98,$-10.29,0.0
2024-06-30,10.95,$-13.11,0.0
2024-03-31,15.71,$-17.15,0.0
2023-12-31,9.4,$-20.20,0.0
2023-09-30,0.49,$-16.76,0.0
2023-06-30,0.55,$-18.06,0.0
2023-03-31,0.6,$-18.56,0.0
2022-12-31,0.58,$-19.39,0.0
2022-09-30,2.02,$-28.59,0.0
2022-06-30,3.0,$-23.94,0.0
2022-03-31,3.01,$-29.68,0.0
2021-12-31,6.44,$-30.41,0.0
