Taiwan Semiconductor Manufacturing Price to Free Cash Flow Ratio Historical Data,Taiwan Semiconductor Manufacturing Price to Free Cash Flow Ratio Historical Data,Taiwan Semiconductor Manufacturing Price to Free Cash Flow Ratio Historical Data,Taiwan Semiconductor Manufacturing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,177.47,,34.85
2024-09-30,173.11,$5.09,33.99
2024-06-30,172.62,$4.39,39.29
2024-03-31,134.7,$2.88,46.69
2023-12-31,102.56,$1.84,55.61
2023-09-30,85.3,$1.33,64.15
2023-06-30,98.56,$1.80,54.86
2023-03-31,90.47,$3.08,29.35
2022-12-31,72.08,$3.32,21.72
2022-09-30,65.96,$3.40,19.41
2022-06-30,78.22,$3.42,22.89
2022-03-31,99.21,$2.80,35.43
2021-12-31,113.97,$1.90,59.98
2021-09-30,105.32,$2.12,49.73
2021-06-30,112.89,$1.82,61.96
2021-03-31,110.71,$1.96,56.36
2020-12-31,101.68,$2.17,46.85
2020-09-30,75.28,$1.20,62.71
2020-06-30,52.44,$0.86,60.7
2020-03-31,43.81,$0.59,74.84
2019-12-31,52.76,$1.00,52.8
2019-09-30,41.91,$1.23,34.0
2019-06-30,35.06,$1.08,32.34
2019-03-31,35.52,$1.52,23.31
2018-12-31,32.01,$1.63,19.65
2018-09-30,38.3,$2.10,18.27
2018-06-30,31.7,$-0.95,0.0
2018-03-31,36.63,$1.88,19.46
2017-12-31,33.19,$1.66,20.0
2017-09-30,31.43,$1.13,27.86
2017-06-30,29.27,$4.20,6.96
2017-03-31,26.64,$1.14,23.44
2016-12-31,23.32,$1.26,18.5
2016-09-30,24.82,$1.23,20.24
2016-06-30,21.28,$1.32,16.08
2016-03-31,20.48,$1.49,13.73
2015-12-31,17.79,$1.66,10.72
2015-09-30,16.22,$1.89,8.59
2015-06-30,17.75,$1.92,9.26
2015-03-31,17.78,$1.60,11.15
2014-12-31,16.95,$0.81,20.86
2014-09-30,15.28,$0.39,39.0
2014-06-30,15.85,$0.38,41.93
2014-03-31,14.83,$0.31,48.61
2013-12-31,12.92,$0.39,33.34
2013-09-30,12.57,$0.41,30.74
2013-06-30,13.28,$0.11,117.64
2013-03-31,12.46,$0.18,67.51
2012-12-31,12.44,$0.29,43.5
2012-09-30,11.47,$0.36,31.74
2012-06-30,9.83,$0.51,19.44
2012-03-31,10.76,$0.44,24.39
2011-12-31,9.09,$0.22,40.56
2011-09-30,8.05,$0.10,84.3
2011-06-30,8.88,$0.11,78.81
2011-03-31,8.3,$0.10,80.85
2010-12-31,8.55,$0.26,32.52
2010-09-30,6.91,$0.22,31.26
2010-06-30,6.41,$0.18,35.29
2010-03-31,6.89,$0.29,24.09
2009-12-31,7.52,$0.42,17.82
