Beyond Price to Free Cash Flow Ratio Historical Data,Beyond Price to Free Cash Flow Ratio Historical Data,Beyond Price to Free Cash Flow Ratio Historical Data,Beyond Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.02,,0.0
2024-12-31,4.93,$-4.05,0.0
2024-09-30,10.08,$-4.25,0.0
2024-06-30,13.08,$-3.57,0.0
2024-03-31,35.91,$-2.00,0.0
2023-12-31,27.69,$-0.84,0.0
2023-09-30,15.82,$-0.96,0.0
2023-06-30,32.57,$-0.83,0.0
2023-03-31,20.27,$-0.98,0.0
2022-12-31,19.36,$-0.62,0.0
2022-09-30,24.35,$0.03,722.55
2022-06-30,25.01,$-0.34,0.0
2022-03-31,44.01,$-0.07,0.0
2021-12-31,59.01,$0.60,97.67
2021-09-30,77.92,$0.68,114.02
2021-06-30,92.2,$1.64,56.06
2021-03-31,66.26,$6.10,10.85
2020-12-31,47.97,$4.36,10.99
2020-09-30,72.65,$4.25,17.11
2020-06-30,28.43,$3.48,8.17
2020-03-31,4.99,$-1.36,0.0
2019-12-31,7.05,$-2.71,0.0
2019-09-30,10.59,$-3.47,0.0
2019-06-30,13.6,$-4.88,0.0
2019-03-31,16.62,$-6.81,0.0
2018-12-31,13.58,$-5.59,0.0
2018-09-30,27.7,$-2.73,0.0
2018-06-30,33.65,$-2.44,0.0
2018-03-31,36.25,$-0.54,0.0
2017-12-31,63.9,$-1.41,0.0
2017-09-30,29.7,$-1.67,0.0
2017-06-30,16.3,$-0.38,0.0
2017-03-31,17.2,$-0.51,0.0
2016-12-31,17.5,$-1.29,0.0
2016-09-30,15.32,$-1.68,0.0
2016-06-30,16.11,$-0.22,0.0
2016-03-31,14.38,$-0.30,0.0
2015-12-31,12.28,$-0.20,0.0
2015-09-30,17.16,$1.51,11.37
2015-06-30,22.54,$0.72,31.43
2015-03-31,24.22,$1.06,22.85
2014-12-31,24.27,$1.62,14.95
2014-09-30,16.86,$1.35,12.52
2014-06-30,15.77,$1.10,14.3
2014-03-31,19.7,$1.55,12.74
2013-12-31,30.79,$2.70,11.41
2013-09-30,29.67,$1.66,17.87
2013-06-30,28.2,$1.98,14.27
2013-03-31,12.32,$1.38,8.91
2012-12-31,14.31,$0.66,21.56
2012-09-30,10.36,$0.70,14.87
2012-06-30,6.91,$0.36,19.13
2012-03-31,5.24,$0.16,33.42
2011-12-31,7.84,$0.73,10.78
2011-09-30,9.27,$1.06,8.74
2011-06-30,15.22,$1.02,14.98
2011-03-31,15.72,$0.76,20.82
2010-12-31,16.48,$-0.18,0.0
2010-09-30,15.72,$0.62,25.29
2010-06-30,18.07,$0.86,21.07
2010-03-31,16.23,$1.54,10.53
2009-12-31,13.56,$1.68,8.05
