Central Garden & Pet Price to Free Cash Flow Ratio Historical Data,Central Garden & Pet Price to Free Cash Flow Ratio Historical Data,Central Garden & Pet Price to Free Cash Flow Ratio Historical Data,Central Garden & Pet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.42,,6.1
2024-12-31,33.05,$5.31,6.22
2024-09-30,31.4,$5.26,5.97
2024-06-30,33.03,$4.48,7.37
2024-03-31,36.92,$5.11,7.23
2023-12-31,35.23,$4.94,7.13
2023-09-30,32.07,$4.91,6.54
2023-06-30,29.17,$3.27,8.92
2023-03-31,31.26,$0.98,31.75
2022-12-31,28.64,$-1.73,0.0
2022-09-30,27.33,$-2.19,0.0
2022-06-30,32.01,$-1.94,0.0
2022-03-31,32.62,$-0.38,0.0
2021-12-31,38.28,$1.51,25.32
2021-09-30,34.4,$2.47,13.93
2021-06-30,38.64,$4.06,9.51
2021-03-31,41.51,$2.63,15.76
2020-12-31,29.06,$2.90,10.03
2020-09-30,28.91,$3.23,8.94
2020-06-30,27.03,$2.33,11.59
2020-03-31,20.46,$2.07,9.9
2019-12-31,23.49,$2.01,11.66
2019-09-30,22.18,$2.41,9.21
2019-06-30,19.71,$2.28,8.66
2019-03-31,18.6,$1.55,12.02
2018-12-31,25.0,$1.62,15.42
2018-09-30,26.51,$1.14,23.18
2018-06-30,32.38,$0.98,33.01
2018-03-31,31.69,$1.41,22.53
2017-12-31,30.17,$1.12,26.91
2017-09-30,29.75,$1.21,24.65
2017-06-30,24.02,$0.99,24.31
2017-03-31,27.78,$1.12,24.89
2016-12-31,24.72,$1.69,14.64
2016-09-30,19.84,$2.00,9.92
2016-06-30,17.37,$1.53,11.36
2016-03-31,13.03,$1.82,7.17
2015-12-31,10.88,$0.77,14.15
2015-09-30,12.89,$1.05,12.22
2015-06-30,9.13,$1.57,5.82
2015-03-31,8.5,$1.28,6.64
2014-12-31,7.64,$1.70,4.51
2014-09-30,6.43,$1.91,3.36
2014-06-30,7.36,$1.47,5.0
2014-03-31,6.62,$0.90,7.38
2013-12-31,5.4,$0.12,44.67
2013-09-30,5.48,$-0.89,0.0
2013-06-30,5.52,$-1.19,0.0
2013-03-31,6.58,$-0.27,0.0
2012-12-31,8.38,$0.31,26.79
2012-09-30,9.66,$0.82,11.79
2012-06-30,8.71,$1.21,7.21
2012-03-31,7.7,$0.08,97.4
2011-12-31,6.66,$0.19,35.57
2011-09-30,5.66,$0.27,20.63
2011-06-30,8.12,$0.11,75.12
2011-03-31,7.37,$-0.05,0.0
2010-12-31,7.9,$0.86,9.21
2010-09-30,8.29,$1.36,6.07
2010-06-30,7.18,$1.88,3.82
2010-03-31,7.33,$2.52,2.91
2009-12-31,7.95,$2.86,2.78
