Nukkleus Price to Free Cash Flow Ratio Historical Data,Nukkleus Price to Free Cash Flow Ratio Historical Data,Nukkleus Price to Free Cash Flow Ratio Historical Data,Nukkleus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.02,,22.47
2024-09-30,0.29,$0.71,0.41
2024-06-30,0.39,$-1.52,0.0
2024-03-31,0.98,$-0.13,0.0
2023-12-31,2.87,$-0.56,0.0
2023-09-30,11.62,$3.36,3.46
2023-06-30,11.3,$5.47,2.07
2023-03-31,10.98,$4.06,2.7
2022-12-31,10.71,$4.63,2.31
2022-09-30,10.57,$-0.29,0.0
2022-06-30,10.47,$-1.79,0.0
2022-03-31,10.35,$-1.38,0.0
2021-12-31,10.2,$-0.56,0.0
2021-09-30,10.14,$-0.58,0.0
2021-06-30,10.01,$-0.41,0.0
