Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.5,,9.28
2024-12-31,37.53,$3.93,9.54
2024-09-30,41.46,$3.51,11.82
2024-06-30,38.55,$3.62,10.65
2024-03-31,42.37,$4.11,10.31
2023-12-31,42.57,$3.89,10.95
2023-09-30,42.76,$3.73,11.46
2023-06-30,39.79,$3.53,11.28
2023-03-31,36.03,$3.40,10.61
2022-12-31,32.99,$3.49,9.45
2022-09-30,27.43,$4.00,6.85
2022-06-30,36.45,$3.84,9.48
2022-03-31,43.24,$4.06,10.64
2021-12-31,46.26,$4.08,11.33
2021-09-30,51.18,$3.50,14.61
2021-06-30,51.95,$3.19,16.27
2021-03-31,49.07,$3.44,14.27
2020-12-31,47.31,$3.04,15.56
2020-09-30,41.55,$3.25,12.79
2020-06-30,35.01,$3.25,10.79
2020-03-31,30.7,$2.88,10.67
2019-12-31,39.7,$3.17,12.51
2019-09-30,39.61,$3.11,12.75
2019-06-30,36.97,$3.34,11.06
2019-03-31,34.78,$3.38,10.29
2018-12-31,29.62,$3.03,9.77
2018-09-30,30.64,$3.03,10.12
2018-06-30,28.23,$2.83,9.98
2018-03-31,29.23,$2.36,12.38
2017-12-31,34.13,$2.34,14.56
2017-09-30,32.66,$2.42,13.51
2017-06-30,33.03,$2.22,14.85
2017-03-31,31.64,$2.10,15.1
2016-12-31,29.06,$2.07,14.02
2016-09-30,27.69,$2.05,13.53
2016-06-30,27.1,$2.25,12.02
2016-03-31,25.28,$2.15,11.77
2015-12-31,23.25,$2.15,10.83
2015-09-30,23.34,$2.02,11.54
2015-06-30,24.67,$2.00,12.37
2015-03-31,23.07,$1.92,12.02
2014-12-31,23.5,$1.81,12.99
2014-09-30,21.79,$1.40,15.54
2014-06-30,21.66,$1.22,17.74
2014-03-31,20.11,$1.07,18.72
2013-12-31,20.79,$1.06,19.57
2013-09-30,17.98,$1.36,13.19
2013-06-30,16.49,$1.35,12.17
2013-03-31,16.5,$1.66,9.95
2012-12-31,14.68,$1.68,8.73
2012-09-30,13.92,$1.80,7.76
2012-06-30,12.45,$1.79,6.95
2012-03-31,11.57,$1.79,6.45
2011-12-31,9.14,$1.63,5.62
2011-09-30,7.98,$1.50,5.32
2011-06-30,9.63,$1.34,7.16
2011-03-31,9.35,$1.17,7.96
2010-12-31,8.27,$1.10,7.5
2010-09-30,6.77,$0.93,7.3
2010-06-30,6.47,$0.98,6.57
2010-03-31,6.98,$1.01,6.91
2009-12-31,6.22,$0.90,6.94
