Clear Channel Outdoor Holdings Price to Free Cash Flow Ratio Historical Data,Clear Channel Outdoor Holdings Price to Free Cash Flow Ratio Historical Data,Clear Channel Outdoor Holdings Price to Free Cash Flow Ratio Historical Data,Clear Channel Outdoor Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.12,,0.0
2024-12-31,1.37,$-0.00,0.0
2024-09-30,1.6,$0.17,9.7
2024-06-30,1.41,$0.15,9.14
2024-03-31,1.65,$-0.07,0.0
2023-12-31,1.82,$-0.00,0.0
2023-09-30,1.58,$-0.31,0.0
2023-06-30,1.37,$-0.23,0.0
2023-03-31,1.2,$-0.22,0.0
2022-12-31,1.05,$-0.09,0.0
2022-09-30,1.37,$-0.13,0.0
2022-06-30,1.07,$-0.13,0.0
2022-03-31,3.46,$-0.23,0.0
2021-12-31,3.31,$-0.60,0.0
2021-09-30,2.71,$-0.61,0.0
2021-06-30,2.64,$-0.96,0.0
2021-03-31,1.8,$-0.10,0.0
2020-12-31,1.65,$-0.09,0.0
2020-09-30,1.0,$0.14,7.06
2020-06-30,1.04,$0.31,3.33
2020-03-31,0.64,$-0.10,0.0
2019-12-31,2.86,$-0.02,0.0
2019-09-30,2.52,$-0.21,0.0
2019-06-30,4.72,$-0.11,0.0
2019-03-31,5.35,$-0.18,0.0
2018-12-31,5.19,$-0.04,0.0
2018-09-30,5.95,$0.22,26.87
2018-06-30,4.3,$0.37,11.53
2018-03-31,4.9,$0.20,25.12
2017-12-31,4.52,$0.02,205.53
2017-09-30,4.43,$-0.07,0.0
2017-06-30,4.62,$-0.10,0.0
2017-03-31,5.76,$0.07,88.33
2016-12-31,4.12,$0.22,18.91
2016-09-30,4.76,$0.38,12.68
2016-06-30,5.07,$0.30,16.92
2016-03-31,3.83,$0.23,16.83
2015-12-31,2.93,$0.22,13.05
2015-09-30,3.73,$0.14,25.97
2015-06-30,5.3,$0.26,20.14
2015-03-31,5.3,$0.27,19.83
2014-12-31,5.54,$0.33,16.95
2014-09-30,3.53,$0.35,10.06
2014-06-30,4.01,$0.48,8.31
2014-03-31,4.46,$0.57,7.82
2013-12-31,4.97,$0.58,8.52
2013-09-30,3.56,$0.50,7.17
2013-06-30,3.24,$0.21,15.64
2013-03-31,3.25,$0.10,34.16
2012-12-31,3.04,$0.22,13.66
2012-09-30,2.59,$0.22,11.96
2012-06-30,2.61,$0.46,5.65
2012-03-31,3.46,$0.76,4.53
2011-12-31,3.07,$0.63,4.84
2011-09-30,2.29,$0.81,2.84
2011-06-30,3.11,$0.94,3.31
2011-03-31,3.56,$0.73,4.85
2010-12-31,3.44,$0.93,3.7
2010-09-30,2.8,$0.95,2.93
2010-06-30,2.12,$0.78,2.71
2010-03-31,2.6,$0.89,2.93
2009-12-31,2.54,$0.75,3.41
