Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,201.71,,305.67
2024-12-31,188.97,$0.66,286.36
2024-09-30,262.59,$4.54,57.86
2024-06-30,243.54,$8.43,28.9
2024-03-31,288.17,$11.28,25.54
2023-12-31,255.54,$16.99,15.04
2023-09-30,200.26,$18.47,10.84
2023-06-30,221.53,$9.02,24.56
2023-03-31,200.25,$13.87,14.44
2022-12-31,221.87,$12.02,18.46
2022-09-30,211.89,$3.52,60.16
2022-06-30,207.35,$12.57,16.5
2022-03-31,188.8,$7.92,23.84
2021-12-31,175.7,$10.65,16.51
2021-09-30,180.5,$18.34,9.84
2021-06-30,195.95,$15.43,12.7
2021-03-31,190.39,$17.88,10.65
2020-12-31,156.7,$18.23,8.6
2020-09-30,128.49,$15.96,8.05
2020-06-30,158.23,$18.17,8.71
2020-03-31,164.38,$11.16,14.73
2019-12-31,225.26,$8.84,25.48
2019-09-30,189.39,$10.69,17.72
2019-06-30,200.14,$0.01,13707.98
2019-03-31,183.74,$7.13,25.77
2018-12-31,168.1,$10.59,15.87
2018-09-30,226.19,$5.54,40.86
2018-06-30,190.92,$10.57,18.06
2018-03-31,226.28,$9.84,23.0
2017-12-31,206.35,$9.63,21.43
2017-09-30,197.64,$7.88,25.08
2017-06-30,162.01,$11.70,13.84
2017-03-31,173.73,$11.97,14.52
2016-12-31,159.37,$11.46,13.9
2016-09-30,132.3,$13.99,9.46
2016-06-30,144.47,$14.33,10.08
2016-03-31,117.35,$14.50,8.09
2015-12-31,108.29,$14.60,7.42
2015-09-30,91.13,$15.14,6.02
2015-06-30,95.41,$15.08,6.33
2015-03-31,118.38,$17.21,6.88
2014-12-31,94.73,$11.97,7.92
2014-09-30,87.46,$9.26,9.44
2014-06-30,79.24,$9.80,8.09
2014-03-31,85.49,$4.93,17.34
2013-12-31,75.1,$1.92,39.02
2013-09-30,56.1,$3.25,17.26
2013-06-30,46.94,$0.35,133.35
2013-03-31,44.24,$2.79,15.85
2012-12-31,35.87,$3.39,10.57
2012-09-30,34.72,$5.47,6.35
2012-06-30,33.23,$7.35,4.52
2012-03-31,33.23,$8.34,3.98
2011-12-31,25.83,$6.78,3.81
