Enerpac Tool Group Price to Free Cash Flow Ratio Historical Data,Enerpac Tool Group Price to Free Cash Flow Ratio Historical Data,Enerpac Tool Group Price to Free Cash Flow Ratio Historical Data,Enerpac Tool Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.34,,29.38
2024-11-30,48.26,$1.48,32.72
2024-08-31,41.24,$1.27,32.36
2024-05-31,39.32,$1.45,27.03
2024-02-29,33.71,$1.20,28.21
2023-11-30,27.3,$0.79,34.36
2023-08-31,26.16,$1.21,21.69
2023-05-31,25.38,$1.05,24.06
2023-02-28,26.89,$0.82,32.89
2022-11-30,25.0,$1.13,22.04
2022-08-31,19.33,$0.74,26.03
2022-05-31,19.45,$0.47,41.57
2022-02-28,17.19,$0.93,18.43
2021-11-30,21.04,$0.83,25.48
2021-08-31,25.07,$1.07,23.46
2021-05-31,27.31,$0.79,34.54
2021-02-28,24.62,$0.48,51.48
2020-11-30,22.31,$0.30,74.18
2020-08-31,20.68,$-0.24,0.0
