T2 Biosystems Price to Free Cash Flow Ratio Historical Data,T2 Biosystems Price to Free Cash Flow Ratio Historical Data,T2 Biosystems Price to Free Cash Flow Ratio Historical Data,T2 Biosystems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-02-24,0.11,,0.0
2024-09-30,1.97,$-11.35,0.0
2024-06-30,5.34,$11.49,0.46
2024-03-31,3.0,$74.99,0.04
2023-12-31,6.28,$-18.52,0.0
2023-09-30,22.09,$-332.27,0.0
2023-06-30,7.06,$-335.79,0.0
2023-03-31,46.0,$-669.16,0.0
2022-12-31,142.0,$-999.31,0.0
2022-09-30,565.0,"$-1,030.78",0.0
2022-06-30,807.5,"$-1,300.02",0.0
2022-03-31,2620.5,"$-1,363.57",0.0
2021-12-31,2581.0,"$-1,238.00",0.0
2021-09-30,4576.0,"$-1,516.56",0.0
2021-06-30,5950.0,"$-1,268.29",0.0
2021-03-31,8100.0,"$-1,035.57",0.0
2020-12-31,6200.0,"$-1,813.84",0.0
2020-09-30,6800.0,"$-2,286.59",0.0
2020-06-30,6350.0,"$-3,752.98",0.0
2020-03-31,3247.5,"$-4,671.35",0.0
2019-12-31,5850.0,"$-5,067.46",0.0
2019-09-30,12500.0,"$-5,394.79",0.0
2019-06-30,8400.0,"$-4,775.94",0.0
2019-03-31,13150.0,"$-4,856.34",0.0
2018-12-31,15050.0,"$-5,021.20",0.0
2018-09-30,37250.0,"$-5,153.55",0.0
2018-06-30,38700.0,"$-6,073.00",0.0
2018-03-31,32450.0,"$-7,099.82",0.0
2017-12-31,20600.0,"$-7,810.59",0.0
2017-09-30,21000.0,"$-8,086.47",0.0
2017-06-30,16050.0,"$-8,707.97",0.0
2017-03-31,26300.0,"$-9,441.53",0.0
2016-12-31,26300.0,"$-9,980.20",0.0
2016-09-30,36200.0,"$-10,675.05",0.0
2016-06-30,39450.0,"$-11,505.21",0.0
2016-03-31,49300.0,"$-11,766.08",0.0
2015-12-31,54700.0,"$-11,081.60",0.0
2015-09-30,43800.0,$-172.04,0.0
2015-06-30,81150.0,"$-5,328.01",0.0
