Bridgeline Digital Price to Free Cash Flow Ratio Historical Data,Bridgeline Digital Price to Free Cash Flow Ratio Historical Data,Bridgeline Digital Price to Free Cash Flow Ratio Historical Data,Bridgeline Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.46,,55.11
2024-12-31,1.58,$0.03,59.85
2024-09-30,1.15,$-0.08,0.0
2024-06-30,0.92,$-0.10,0.0
2024-03-31,1.16,$-0.12,0.0
2023-12-31,0.87,$-0.05,0.0
2023-09-30,0.83,$0.02,34.33
2023-06-30,1.18,$0.11,10.44
2023-03-31,0.91,$0.11,8.24
2022-12-31,1.05,$-0.04,0.0
2022-09-30,1.31,$-0.03,0.0
2022-06-30,1.2,$-0.34,0.0
2022-03-31,1.91,$-0.31,0.0
2021-12-31,2.26,$-0.28,0.0
2021-09-30,4.11,$-0.19,0.0
2021-06-30,4.3,$-0.04,0.0
2021-03-31,2.89,$-0.09,0.0
2020-12-31,2.58,$-0.09,0.0
2020-09-30,1.86,$-0.14,0.0
2020-06-30,1.69,$-1.95,0.0
2020-03-31,0.67,$4.94,0.13
2019-12-31,1.54,$3.65,0.42
2019-09-30,1.91,$-3.53,0.0
2019-06-30,2.45,$-3.60,0.0
2019-03-31,8.0,$-17.03,0.0
2018-12-31,11.55,$-13.97,0.0
2018-09-30,49.0,$-13.77,0.0
2018-06-30,57.0,$-13.76,0.0
2018-03-31,103.0,$-15.34,0.0
2017-12-31,121.4,$-15.48,0.0
2017-09-30,143.5,$-12.45,0.0
2017-06-30,139.98,$-44.84,0.0
2017-03-31,208.5,$-40.57,0.0
2016-12-31,160.6,$-43.73,0.0
2016-09-30,197.5,$-75.20,0.0
2016-06-30,265.0,$-52.92,0.0
2016-03-31,210.0,$-72.87,0.0
2015-12-31,267.5,$-128.80,0.0
2015-09-30,305.0,$-169.52,0.0
2015-06-30,447.5,$-239.17,0.0
2015-03-31,612.5,$-267.90,0.0
2014-12-31,568.75,$-232.77,0.0
2014-09-30,812.5,$-274.00,0.0
2014-06-30,1100.0,$-163.36,0.0
2014-03-31,1262.5,$-261.06,0.0
2013-12-31,1325.0,$-237.10,0.0
2013-09-30,1375.0,$-115.37,0.0
2013-06-30,1500.0,$-83.64,0.0
2013-03-31,1587.5,$-53.51,0.0
2012-12-31,1812.5,$-67.78,0.0
2012-09-30,1500.0,$-115.60,0.0
2012-06-30,1887.5,$-176.01,0.0
2012-03-31,1412.5,$-21.47,0.0
2011-12-31,750.0,$17.30,43.34
2011-09-30,665.0,$14.97,44.41
2011-06-30,1187.5,$-8.52,0.0
2011-03-31,1375.0,$-2.30,0.0
2010-12-31,1800.0,$15.45,116.51
2010-09-30,1525.0,$71.29,21.39
2010-06-30,1468.75,$193.00,7.61
2010-03-31,1600.0,$166.31,9.62
2009-12-31,1500.0,$289.21,5.19
