Flexible Solutions Price to Free Cash Flow Ratio Historical Data,Flexible Solutions Price to Free Cash Flow Ratio Historical Data,Flexible Solutions Price to Free Cash Flow Ratio Historical Data,Flexible Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.35,,26.76
2024-09-30,3.65,$0.20,18.23
2024-06-30,1.75,$0.26,6.67
2024-03-31,1.8,$0.11,15.69
2023-12-31,1.83,$0.16,11.37
2023-09-30,2.6,$0.53,4.91
2023-06-30,2.55,$0.26,9.79
2023-03-31,2.93,$0.13,22.27
2022-12-31,2.91,$-0.04,0.0
2022-09-30,1.55,$-0.08,0.0
2022-06-30,2.3,$0.06,37.09
2022-03-31,3.83,$0.31,12.36
2021-12-31,3.66,$0.32,11.39
2021-09-30,3.38,$0.29,11.83
2021-06-30,3.68,$0.45,8.08
2021-03-31,3.8,$0.28,13.45
2020-12-31,2.34,$0.38,6.21
2020-09-30,1.92,$0.26,7.39
2020-06-30,1.92,$0.19,10.37
2020-03-31,1.1,$0.19,5.66
2019-12-31,2.42,$0.04,54.17
2019-09-30,2.22,$0.01,0.0
2019-06-30,4.11,$-0.24,0.0
2019-03-31,2.03,$-0.44,0.0
2018-12-31,1.16,$-0.20,0.0
2018-09-30,1.26,$0.01,105.36
2018-06-30,1.45,$0.20,7.34
2018-03-31,1.38,$0.20,6.82
2017-12-31,1.57,$0.05,29.82
2017-09-30,1.48,$-0.04,0.0
2017-06-30,1.6,$0.00,0.0
2017-03-31,1.26,$-0.03,0.0
2016-12-31,1.14,$0.14,8.01
2016-09-30,1.91,$0.26,7.43
2016-06-30,1.2,$0.24,5.01
2016-03-31,0.8,$0.20,3.9
2015-12-31,0.86,$0.20,4.25
2015-09-30,0.83,$0.21,3.93
2015-06-30,1.76,$0.11,15.93
2015-03-31,1.1,$0.12,9.06
2014-12-31,0.97,$0.08,12.37
2014-09-30,1.1,$0.00,0.0
2014-06-30,0.72,$0.04,16.42
2014-03-31,0.68,$-0.02,0.0
2013-12-31,0.83,$0.02,44.39
2013-09-30,0.96,$-0.04,0.0
2013-06-30,0.68,$-0.02,0.0
2013-03-31,1.05,$-0.05,0.0
2012-12-31,0.99,$-0.03,0.0
2012-09-30,1.19,$0.11,11.14
2012-06-30,1.22,$0.02,50.89
2012-03-31,2.02,$-0.02,0.0
2011-12-31,1.94,$-0.12,0.0
2011-09-30,2.04,$-0.14,0.0
2011-06-30,2.31,$-0.08,0.0
2011-03-31,1.27,$-0.02,0.0
2010-12-31,1.1,$0.06,19.42
2010-09-30,1.11,$0.03,42.19
2010-06-30,1.45,$0.01,109.29
2010-03-31,1.42,$-0.01,0.0
2009-12-31,1.44,$-0.02,0.0
