Talkspace Price to Free Cash Flow Ratio Historical Data,Talkspace Price to Free Cash Flow Ratio Historical Data,Talkspace Price to Free Cash Flow Ratio Historical Data,Talkspace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.77,,78.03
2024-12-31,3.09,$0.04,87.04
2024-09-30,2.09,$0.01,172.73
2024-06-30,2.3,$-0.02,0.0
2024-03-31,3.57,$-0.04,0.0
2023-12-31,2.54,$-0.10,0.0
2023-09-30,1.95,$-0.18,0.0
2023-06-30,1.27,$-0.26,0.0
2023-03-31,0.7,$-0.38,0.0
2022-12-31,0.61,$-0.39,0.0
2022-09-30,1.03,$-0.81,0.0
2022-06-30,1.7,$-0.29,0.0
2022-03-31,1.74,$-0.56,0.0
2021-12-31,1.97,$-0.76,0.0
2021-09-30,3.65,$-0.90,0.0
2021-06-30,8.31,$-1.84,0.0
