Taitron Components Price to Free Cash Flow Ratio Historical Data,Taitron Components Price to Free Cash Flow Ratio Historical Data,Taitron Components Price to Free Cash Flow Ratio Historical Data,Taitron Components Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.55,,30.09
2024-09-30,2.86,$0.08,33.71
2024-06-30,2.56,$0.21,12.42
2024-03-31,3.09,$0.27,11.45
2023-12-31,3.3,$0.49,6.78
2023-09-30,3.25,$0.52,6.21
2023-06-30,3.76,$0.51,7.43
2023-03-31,3.23,$0.59,5.52
2022-12-31,3.08,$0.28,11.02
2022-09-30,3.38,$0.10,34.33
2022-06-30,3.16,$0.11,27.76
2022-03-31,3.26,$0.04,90.94
2021-12-31,3.32,$0.29,11.42
2021-09-30,3.12,$0.35,8.94
2021-06-30,4.08,$0.36,11.46
2021-03-31,3.27,$0.39,8.47
2020-12-31,2.59,$0.35,7.44
2020-09-30,1.88,$0.34,5.49
2020-06-30,2.03,$0.40,5.04
2020-03-31,1.7,$0.30,5.73
2019-12-31,2.14,$0.27,7.83
2019-09-30,2.1,$0.34,6.26
2019-06-30,2.36,$0.26,9.02
2019-03-31,1.93,$0.36,5.37
2018-12-31,1.25,$0.40,3.11
2018-09-30,1.41,$0.28,5.04
2018-06-30,1.19,$0.19,6.14
2018-03-31,1.05,$0.22,4.79
2017-12-31,1.14,$0.06,18.37
2017-09-30,1.05,$0.12,8.54
2017-06-30,1.07,$0.18,5.88
2017-03-31,0.77,$0.21,3.71
2016-12-31,0.76,$0.22,3.38
2016-09-30,0.71,$0.18,4.0
2016-06-30,0.63,$0.08,7.49
2016-03-31,0.54,$-0.00,0.0
2015-12-31,0.58,$0.04,13.51
2015-09-30,0.59,$0.07,8.96
2015-06-30,0.58,$0.13,4.61
2015-03-31,0.59,$0.18,3.3
2014-12-31,0.59,$0.17,3.37
2014-09-30,0.62,$0.12,5.16
2014-06-30,0.6,$0.07,9.09
2014-03-31,0.62,$-0.02,0.0
2013-12-31,0.62,$0.07,8.76
2013-09-30,0.6,$0.12,5.07
2013-06-30,0.55,$0.20,2.75
2013-03-31,0.59,$0.20,2.93
2012-12-31,0.6,$0.16,3.75
2012-09-30,0.59,$0.11,5.47
2012-06-30,0.57,$0.01,0.0
2012-03-31,0.6,$-0.00,0.0
2011-12-31,0.67,$-0.10,0.0
2011-09-30,0.54,$-0.16,0.0
2011-06-30,0.73,$-0.17,0.0
2011-03-31,0.92,$-0.11,0.0
2010-12-31,0.93,$-0.03,0.0
2010-09-30,0.62,$0.14,4.43
2010-06-30,0.7,$0.22,3.16
2010-03-31,0.89,$0.21,4.33
2009-12-31,0.85,$0.22,3.91
