Ambow Education Holding Price to Free Cash Flow Ratio Historical Data,Ambow Education Holding Price to Free Cash Flow Ratio Historical Data,Ambow Education Holding Price to Free Cash Flow Ratio Historical Data,Ambow Education Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.01,,2.64
2024-06-30,1.2,$1.14,1.05
2023-12-31,1.38,0,0.0
2023-06-30,2.23,$-1.03,0.0
2022-06-30,3.67,$-4.87,0.0
2021-06-30,24.05,$-1.22,0.0
2021-03-31,21.9,$0.13,165.28
2020-12-31,21.7,$0.13,163.77
2020-09-30,50.5,$1.33,37.94
2020-06-30,17.8,$-1.25,0.0
2020-03-31,19.0,$-1.25,0.0
2019-12-31,19.8,$-1.25,0.0
2019-09-30,15.8,$1.16,13.57
2019-06-30,37.3,$1.16,32.04
2019-03-31,62.5,$1.16,53.68
