WaFd Price to Free Cash Flow Ratio Historical Data,WaFd Price to Free Cash Flow Ratio Historical Data,WaFd Price to Free Cash Flow Ratio Historical Data,WaFd Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.25,,5.78
2024-12-31,32.24,$4.89,6.6
2024-09-30,34.61,$5.93,5.84
2024-06-30,28.18,$5.50,5.13
2024-03-31,28.36,$5.60,5.07
2023-12-31,31.9,$3.87,8.25
2023-09-30,24.57,$3.30,7.45
2023-06-30,25.19,$3.64,6.92
2023-03-31,28.35,$4.62,6.13
2022-12-31,31.35,$4.76,6.59
2022-09-30,27.82,$4.11,6.78
2022-06-30,27.67,$3.69,7.49
2022-03-31,30.02,$3.07,9.77
2021-12-31,30.32,$3.62,8.38
2021-09-30,30.97,$4.38,7.07
2021-06-30,28.48,$3.75,7.6
2021-03-31,27.41,$3.75,7.31
2020-12-31,22.72,$2.05,11.1
2020-09-30,18.23,$2.47,7.37
2020-06-30,23.24,$2.70,8.62
2020-03-31,22.28,$2.72,8.2
2019-12-31,31.25,$3.58,8.72
2019-09-30,31.36,$2.66,11.79
2019-06-30,29.44,$2.39,12.3
2019-03-31,24.2,$1.83,13.2
2018-12-31,22.23,$1.96,11.32
2018-09-30,26.46,$1.92,13.77
2018-06-30,26.89,$1.99,13.51
2018-03-31,28.31,$2.23,12.72
2017-12-31,27.88,$2.03,13.73
2017-09-30,27.28,$1.90,14.36
2017-06-30,26.79,$1.96,13.7
2017-03-31,26.59,$1.94,13.68
2016-12-31,27.26,$2.04,13.4
2016-09-30,21.06,$2.12,9.95
2016-06-30,19.05,$2.03,9.38
2016-03-31,17.68,$1.73,10.2
2015-12-31,18.48,$1.45,12.75
2015-09-30,17.55,$1.07,16.4
2015-06-30,17.91,$1.12,15.94
2015-03-31,16.63,$1.08,15.39
2014-12-31,16.79,$0.95,17.59
2014-09-30,15.32,$1.20,12.76
2014-06-30,16.79,$0.91,18.45
2014-03-31,17.37,$1.11,15.71
2013-12-31,17.36,$1.41,12.34
2013-09-30,15.28,$1.45,10.52
2013-06-30,13.88,$0.71,19.59
2013-03-31,12.8,$1.14,11.27
2012-12-31,12.34,$0.93,13.29
2012-09-30,12.07,$1.33,9.05
2012-06-30,12.18,$2.08,5.85
2012-03-31,12.08,$1.91,6.33
2011-12-31,10.04,$2.47,4.07
2011-09-30,9.05,$2.25,4.01
2011-06-30,11.63,$2.76,4.21
2011-03-31,12.23,$3.40,3.6
2010-12-31,11.93,$2.54,4.69
2010-09-30,10.7,$2.11,5.07
2010-06-30,11.3,$2.12,5.34
2010-03-31,14.19,$1.45,9.76
2009-12-31,13.47,$2.23,6.04
