Greif Price to Free Cash Flow Ratio Historical Data,Greif Price to Free Cash Flow Ratio Historical Data,Greif Price to Free Cash Flow Ratio Historical Data,Greif Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.26,,15.92
2025-01-31,61.22,$3.53,17.33
2024-10-31,61.93,$3.90,15.89
2024-07-31,65.56,$3.46,18.95
2024-04-30,59.76,$6.04,9.89
2024-01-31,60.56,$8.72,6.94
2023-10-31,60.93,$9.36,6.51
2023-07-31,70.44,$11.36,6.2
2023-04-30,59.37,$11.76,5.05
2023-01-31,66.97,$10.22,6.55
2022-10-31,61.61,$10.32,5.97
2022-07-31,65.22,$7.71,8.46
2022-04-30,55.6,$5.29,10.51
2022-01-31,53.79,$5.62,9.57
2021-10-31,58.37,$5.58,10.46
2021-07-31,54.31,$7.52,7.22
2021-04-30,53.82,$8.44,6.38
2021-01-31,39.87,$7.45,5.35
2020-10-31,35.52,$7.37,4.82
2020-07-31,30.08,$6.53,4.6
2020-04-30,28.92,$6.42,4.5
2020-01-31,33.99,$5.64,6.03
2019-10-31,32.61,$5.31,6.14
2019-07-31,28.79,$5.15,5.59
2019-04-30,32.12,$3.38,9.52
2019-01-31,31.36,$3.33,9.4
2018-10-31,37.64,$2.43,15.52
2018-07-31,43.0,$2.83,15.22
2018-04-30,45.87,$3.82,12.01
2018-01-31,45.97,$4.10,11.22
2017-10-31,42.89,$4.36,9.84
2017-07-31,43.0,$3.24,13.27
2017-04-30,44.6,$3.54,12.59
2017-01-31,43.48,$3.98,10.92
2016-10-31,35.11,$4.21,8.34
2016-07-31,29.8,$4.10,7.27
2016-04-30,25.5,$3.63,7.03
2016-01-31,19.14,$2.41,7.95
2015-10-31,23.42,$1.70,13.75
2015-07-31,21.88,$1.75,12.49
2015-04-30,28.47,$1.09,26.0
2015-01-31,26.4,$2.50,10.56
2014-10-31,30.17,$2.45,12.31
2014-07-31,34.06,$2.23,15.25
2014-04-30,36.49,$2.94,12.4
2014-01-31,33.81,$3.21,10.54
2013-10-31,35.44,$3.08,11.5
2013-07-31,36.34,$3.19,11.4
2013-04-30,31.4,$4.31,7.29
2013-01-31,30.38,$5.41,5.62
2012-10-31,26.88,$6.71,4.0
2012-07-31,27.46,$7.01,3.92
2012-04-30,33.7,$4.68,7.2
2012-01-31,30.2,$2.31,13.09
2011-10-31,27.65,$0.79,34.96
2011-07-31,37.36,$0.83,44.81
2011-04-30,37.76,$1.73,21.79
2011-01-31,38.08,$0.80,47.57
2010-10-31,35.23,$0.64,55.12
2010-07-31,35.52,$1.70,20.91
2010-04-30,35.0,$3.41,10.27
2010-01-31,28.4,$4.69,6.06
2009-10-31,31.2,$4.06,7.69
