Flowers Foods Price to Free Cash Flow Ratio Historical Data,Flowers Foods Price to Free Cash Flow Ratio Historical Data,Flowers Foods Price to Free Cash Flow Ratio Historical Data,Flowers Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.16,,13.63
2024-12-31,20.66,$1.33,15.5
2024-09-30,22.83,$1.21,18.9
2024-06-30,21.74,$1.26,17.2
2024-03-31,23.26,$1.27,18.33
2023-12-31,21.82,$1.04,20.92
2023-09-30,21.27,$0.92,23.02
2023-06-30,23.63,$0.81,29.06
2023-03-31,25.8,$0.70,37.04
2022-12-31,26.83,$0.94,28.68
2022-09-30,22.88,$0.39,59.2
2022-06-30,24.2,$0.31,78.19
2022-03-31,23.44,$0.70,33.52
2021-12-31,24.85,$0.69,36.03
2021-09-30,21.2,$1.39,15.3
2021-06-30,21.53,$1.41,15.29
2021-03-31,20.99,$1.64,12.77
2020-12-31,19.79,$1.70,11.61
2020-09-30,21.08,$1.67,12.66
2020-06-30,19.22,$1.58,12.16
2020-03-31,17.48,$1.30,13.44
2019-12-31,18.37,$1.25,14.64
2019-09-30,19.37,$1.18,16.43
2019-06-30,19.33,$1.22,15.8
2019-03-31,17.56,$0.96,18.33
2018-12-31,15.08,$0.94,16.09
2018-09-30,15.24,$0.99,15.39
2018-06-30,16.86,$1.07,15.78
2018-03-31,17.53,$1.10,15.9
2017-12-31,15.36,$1.27,12.09
2017-09-30,14.84,$1.27,11.73
2017-06-30,13.52,$1.23,11.01
2017-03-31,15.02,$1.35,11.15
2016-12-31,15.33,$1.30,11.83
2016-09-30,11.49,$1.20,9.59
2016-06-30,14.09,$1.09,12.95
2016-03-31,13.76,$1.20,11.46
2015-12-31,15.88,$1.22,13.07
2015-09-30,18.17,$1.49,12.2
2015-06-30,15.43,$1.49,10.34
2015-03-31,16.48,$1.24,13.26
2014-12-31,13.82,$1.26,11.0
2014-09-30,13.14,$0.96,13.74
2014-06-30,14.99,$0.84,17.83
2014-03-31,15.16,$0.99,15.28
2013-12-31,15.09,$0.82,18.36
2013-09-30,14.99,$0.80,18.83
2013-06-30,15.34,$0.87,17.72
2013-03-31,15.2,$0.81,18.73
2012-12-31,10.68,$0.73,14.69
2012-09-30,9.2,$0.81,11.31
2012-06-30,10.5,$0.69,15.28
2012-03-31,9.15,$0.30,30.27
2011-12-31,8.46,$0.33,25.84
2011-09-30,8.61,$0.41,20.8
2011-06-30,9.67,$0.64,15.18
2011-03-31,7.91,$1.00,7.93
2010-12-31,7.76,$1.01,7.7
2010-09-30,7.11,$0.98,7.24
2010-06-30,6.94,$0.88,7.89
2010-03-31,6.97,$0.87,8.03
2009-12-31,6.65,$0.82,8.12
