Onconetix Price to Free Cash Flow Ratio Historical Data,Onconetix Price to Free Cash Flow Ratio Historical Data,Onconetix Price to Free Cash Flow Ratio Historical Data,Onconetix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.13,,0.0
2024-09-30,5.2,$-18.27,0.0
2024-06-30,0.17,$-30.36,0.0
2024-03-31,0.15,$-44.45,0.0
2023-12-31,0.2,$-46.09,0.0
2023-09-30,0.51,$-47.06,0.0
2023-06-30,1.13,$-45.70,0.0
2023-03-31,1.07,$-33.78,0.0
2022-12-31,1.1,$-28.31,0.0
