StepStone Group Price to Free Cash Flow Ratio Historical Data,StepStone Group Price to Free Cash Flow Ratio Historical Data,StepStone Group Price to Free Cash Flow Ratio Historical Data,StepStone Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.2,,31.13
2024-12-31,57.88,$1.77,32.64
2024-09-30,56.83,$1.87,30.35
2024-06-30,45.89,$2.10,21.88
2024-03-31,35.74,$2.13,16.76
2023-12-31,31.83,$1.93,16.47
2023-09-30,31.58,$1.60,19.79
2023-06-30,24.81,$2.03,12.19
2023-03-31,24.27,$2.21,10.98
2022-12-31,25.18,$2.76,9.13
2022-09-30,24.51,$2.72,9.01
2022-06-30,25.84,$2.50,10.34
2022-03-31,32.57,$3.30,9.86
2021-12-31,40.78,$3.73,10.92
2021-09-30,41.68,$4.56,9.13
2021-06-30,33.58,$6.19,5.43
