Pinstripes Holdings Price to Free Cash Flow Ratio Historical Data,Pinstripes Holdings Price to Free Cash Flow Ratio Historical Data,Pinstripes Holdings Price to Free Cash Flow Ratio Historical Data,Pinstripes Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-05,0.15,,0.0
2025-01-31,0.47,$-1.94,0.0
2024-10-31,0.73,$-0.63,0.0
2024-07-31,2.22,$-2.24,0.0
2024-04-30,3.0,$-1.58,0.0
2024-01-31,4.0,$-0.83,0.0
2023-10-31,10.58,$-2.47,0.0
2023-09-30,10.53,$-2.85,0.0
2023-07-31,10.49,$-3.37,0.0
2023-06-30,10.4,$-2.52,0.0
2023-04-30,10.31,$-1.99,0.0
2023-03-31,10.4,$0.11,97.65
2023-01-31,10.32,$-0.01,0.0
2022-12-31,10.21,$-0.12,0.0
