Sonder Holdings Price to Free Cash Flow Ratio Historical Data,Sonder Holdings Price to Free Cash Flow Ratio Historical Data,Sonder Holdings Price to Free Cash Flow Ratio Historical Data,Sonder Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.27,,0.0
2024-09-30,4.68,$-11.55,0.0
2024-06-30,4.63,$-11.71,0.0
2024-03-31,2.96,$-11.14,0.0
2023-12-31,3.39,$-11.27,0.0
2023-09-30,8.21,$-11.27,0.0
2023-06-30,0.53,$-13.53,0.0
2023-03-31,0.76,$-14.04,0.0
2022-12-31,1.24,$-17.44,0.0
2022-09-30,1.66,$-113.53,0.0
2022-06-30,1.04,$-173.24,0.0
2022-03-31,4.75,$-268.38,0.0
2021-12-31,9.97,$-341.80,0.0
