Planet Labs PBC Price to Free Cash Flow Ratio Historical Data,Planet Labs PBC Price to Free Cash Flow Ratio Historical Data,Planet Labs PBC Price to Free Cash Flow Ratio Historical Data,Planet Labs PBC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.24,,0.0
2024-10-31,2.21,$-0.22,0.0
2024-07-31,2.54,$-0.31,0.0
2024-04-30,1.69,$-0.25,0.0
2024-01-31,2.26,$-0.33,0.0
2023-10-31,2.16,$-0.33,0.0
2023-07-31,3.72,$-0.35,0.0
2023-04-30,4.08,$-0.42,0.0
2023-01-31,4.95,$-0.32,0.0
2022-10-31,5.25,$-0.35,0.0
2022-07-31,5.33,$-0.45,0.0
2022-04-30,5.03,$-0.45,0.0
2022-01-31,6.1,$-0.34,0.0
2021-10-31,10.13,$-0.66,0.0
2021-09-30,9.91,$-0.40,0.0
