Hycroft Mining Holding Price to Free Cash Flow Ratio Historical Data,Hycroft Mining Holding Price to Free Cash Flow Ratio Historical Data,Hycroft Mining Holding Price to Free Cash Flow Ratio Historical Data,Hycroft Mining Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.23,,0.0
2024-12-31,2.21,$-1.28,0.0
2024-09-30,2.5,$-1.35,0.0
2024-06-30,2.4,$-1.73,0.0
2024-03-31,2.21,$-2.09,0.0
2023-12-31,2.45,$-1.99,0.0
2023-09-30,2.98,$-2.38,0.0
2023-06-30,2.95,$-2.02,0.0
2023-03-31,4.32,$-1.60,0.0
2022-12-31,5.32,$-1.95,0.0
2022-09-30,6.05,$-1.99,0.0
2022-06-30,11.1,$-3.31,0.0
2022-03-31,23.0,$-4.80,0.0
2021-12-31,6.14,$-7.31,0.0
2021-09-30,14.9,$-26.32,0.0
2021-06-30,30.6,$-8.03,0.0
2021-03-31,35.0,$622.75,0.06
2020-12-31,78.5,$-40.66,0.0
2020-09-30,105.1,$-583.10,0.0
2020-06-30,94.5,"$-1,295.35",0.0
2020-03-31,103.48,"$-3,052.92",0.0
2019-12-31,103.33,"$-2,386.33",0.0
2019-09-30,102.81,"$-1,824.11",0.0
2019-06-30,101.8,"$-1,128.74",0.0
2019-03-31,100.8,$-0.24,0.0
2018-12-31,98.8,$-0.17,0.0
