Tetra Tech Price to Free Cash Flow Ratio Historical Data,Tetra Tech Price to Free Cash Flow Ratio Historical Data,Tetra Tech Price to Free Cash Flow Ratio Historical Data,Tetra Tech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.26,,22.9
2024-12-31,39.84,$1.28,31.18
2024-09-30,47.09,$1.26,37.26
2024-06-30,40.79,$1.32,30.92
2024-03-31,36.8,$1.28,28.71
2023-12-31,33.2,$1.22,27.17
2023-09-30,30.19,$1.28,23.65
2023-06-30,32.46,$1.07,30.44
2023-03-31,29.07,$0.95,30.46
2022-12-31,28.69,$0.98,29.17
2022-09-30,25.36,$1.22,20.84
2022-06-30,26.9,$1.28,20.99
2022-03-31,32.43,$1.17,27.71
2021-12-31,33.34,$1.28,26.08
2021-09-30,29.29,$1.08,27.03
2021-06-30,23.9,$1.04,22.96
2021-03-31,26.54,$1.23,21.54
2020-12-31,22.61,$1.16,19.42
2020-09-30,18.62,$0.97,19.12
2020-06-30,15.4,$1.05,14.6
2020-03-31,13.71,$0.66,20.72
2019-12-31,16.7,$0.68,24.48
2019-09-30,16.79,$0.69,24.34
2019-06-30,15.17,$0.74,20.56
2019-03-31,11.49,$0.88,13.07
2018-12-31,9.96,$0.76,13.06
2018-09-30,13.14,$0.62,21.12
2018-06-30,11.23,$0.49,22.77
2018-03-31,9.38,$0.37,25.32
2017-12-31,9.2,$0.46,20.09
2017-09-30,8.88,$0.46,19.4
2017-06-30,8.71,$0.39,22.21
2017-03-31,7.76,$0.53,14.72
2016-12-31,8.18,$0.17,47.32
2016-09-30,6.71,$0.45,14.85
2016-06-30,5.8,$0.36,16.11
2016-03-31,5.61,$0.50,11.29
2015-12-31,4.88,$0.54,8.97
2015-09-30,4.54,$0.48,9.38
2015-06-30,4.78,$0.44,10.93
2015-03-31,4.46,$0.27,16.29
2014-12-31,4.95,$0.24,20.36
2014-09-30,4.62,$0.35,13.36
2014-06-30,5.07,$0.37,13.84
2014-03-31,5.44,$0.34,15.91
2013-12-31,5.14,$0.42,12.26
2013-09-30,4.76,$0.35,13.67
2013-06-30,4.32,$0.36,11.95
2013-03-31,5.6,$0.37,15.17
2012-12-31,4.86,$0.35,13.76
2012-09-30,4.83,$0.42,11.52
2012-06-30,4.79,$0.45,10.76
2012-03-31,4.84,$0.46,10.63
2011-12-31,3.97,$0.45,8.73
2011-09-30,3.44,$0.36,9.52
2011-06-30,4.13,$0.39,10.53
2011-03-31,4.54,$0.29,15.78
2010-12-31,4.61,$0.33,14.0
2010-09-30,3.85,$0.28,13.54
2010-06-30,3.6,$0.44,8.13
2010-03-31,4.23,$0.57,7.42
2009-12-31,4.99,$0.56,8.92
